Battery voltage (V),Thermometer (degC)
4.210938,33.28516
4.20752,33
4.209229,33.28516
4.209229,33.28516
4.209229,33.05469
4.209229,33.11328
4.20752,32.88281
4.209229,33.22656
4.209229,33.11328
4.206055,33.22656
4.20752,33.28516
4.209229,33.28516
4.20752,33.22656
4.209229,33.28516
4.20752,33.22656
4.20752,33.28516
4.212402,33.22656
4.209229,33.28516
4.20752,33.28516
4.20752,33
4.206055,33.11328
4.209229,33.28516
4.20752,33.22656
4.209229,33
4.209229,33.28516
4.20752,33.28516
4.209229,33.22656
4.210938,33.28516
4.206055,33.22656
4.209229,33
4.20752,33.28516
4.206055,33.28516
4.20752,33.22656
4.20752,33.11328
4.209229,33.22656
4.20752,33.22656
4.20752,33.33984
4.210938,33.22656
4.209229,33.22656
4.20752,33.28516
4.209229,33.28516
4.209229,33.28516
4.210938,33.28516
4.209229,33.11328
4.209229,33
4.209229,33.22656
4.206055,33
4.209229,33.05469
