Packet number,Roll | Phi | X (degrees), Pitch | Theta | Y (degrees), Yaw | Psi | Z (degrees)
114,-0.241274,-0.04910734,-0.06983987
117,-0.7377208,-0.1442557,-0.1354606
120,-0.9290627,-0.2149825,-0.6347536
123,-0.9630507,-0.2062792,-1.239825
126,-1.154697,-0.2122034,-1.620685
129,-1.275673,-0.2599829,-1.987217
132,-1.439819,-0.2452398,-2.256414
135,-1.638347,-0.2847258,-2.297456
138,-1.846278,-0.3833252,-2.29542
141,-2.040154,-0.459459,-2.422873
144,-2.189365,-0.5153421,-2.435269
147,-2.334674,-0.6241164,-2.299511
150,-2.447347,-0.6169059,-2.183644
153,-2.541872,-0.6477812,-2.074096
156,-2.54388,-0.679539,-2.241324
159,-2.53979,-0.6750237,-2.35686
162,-2.53642,-0.6521221,-2.430903
165,-2.667009,-0.6368798,-2.259073
168,-2.759972,-0.5945939,-2.025241
171,-2.80928,-0.5364812,-2.187365
174,-2.882541,-0.5385749,-2.21495
177,-2.933876,-0.6120208,-2.174421
180,-2.929202,-0.6845559,-2.141112
183,-3.03459,-0.7197604,-1.94361
186,-2.985451,-0.7820854,-1.81637
189,-2.968612,-0.7990609,-1.672574
192,-2.90262,-0.8029516,-1.588933
195,-2.842191,-0.8287667,-1.676165
198,-2.946383,-0.8428533,-1.755554
201,-2.945378,-0.8729918,-1.838792
204,-2.880612,-0.9107971,-1.992242
207,-2.933704,-0.970301,-2.228274
211,-3.021073,-0.9033778,-2.411249
214,-3.093636,-0.8952067,-2.568443
217,-3.169561,-0.9004019,-2.6937
220,-3.16837,-0.8952574,-2.886386
223,-2.914543,-0.860523,-3.284533
226,-2.769943,-0.8255659,-3.601273
229,-2.812063,-0.7953886,-3.741791
232,-2.844028,-0.7791117,-3.748967
235,-2.823283,-0.7836843,-3.678953
238,-2.925787,-0.7642756,-3.612315
241,-2.879824,-0.7708843,-3.654413
244,-2.809403,-0.7735195,-3.710765
247,-2.82899,-0.8011018,-3.808079
250,-2.813273,-0.803489,-4.067091
253,-2.776815,-0.8226843,-4.189366
256,-2.856372,-0.8500927,-4.18824
259,-2.900921,-0.8699126,-4.215375
262,-2.836861,-0.880601,-4.317107
265,-2.794251,-0.7929916,-4.378999
268,-2.852959,-0.7639825,-4.109874
271,-2.778847,-0.6990209,-3.996326
274,-2.709254,-0.6682826,-4.130449
277,-2.741575,-0.6358833,-4.190466
280,-2.78857,-0.5868429,-4.261443
283,-2.879451,-0.5904061,-4.268009
286,-2.956509,-0.589877,-4.271252
289,-3.08956,-0.607858,-4.10564
292,-3.114323,-0.6074107,-4.056573
295,-3.120846,-0.6240634,-4.017503
298,-3.18975,-0.5737032,-3.88217
301,-3.291941,-0.5778802,-3.664515
304,-3.307412,-0.5438512,-3.560405
308,-3.310781,-0.565303,-3.451363
311,-3.400643,-0.51269,-3.239049
314,-3.365983,-0.5006945,-3.221972
317,-3.351503,-0.5148908,-3.242603
320,-3.343869,-0.4048135,-3.315794
323,-3.391386,-0.3364626,-3.324745
326,-3.350334,-0.2961729,-3.423963
329,-3.374955,-0.2981375,-3.346905
332,-3.392837,-0.2968644,-3.168437
335,-3.3937,-0.2644752,-3.137821
338,-3.351076,-0.2879937,-3.144226
341,-3.261176,-0.2454593,-3.212111
344,-3.227388,-0.2003319,-3.258917
347,-3.22185,-0.1460888,-3.326896
350,-3.217901,-0.1618342,-3.393004
353,-3.148362,-0.1424453,-3.526516
356,-3.154472,-0.1719657,-3.574758
359,-3.119693,-0.1645533,-3.599489
362,-2.990294,-0.1585416,-3.659163
365,-3.028704,-0.1622476,-3.620551
368,-2.960208,-0.1146455,-3.758352
371,-2.851163,-0.02797427,-3.935549
374,-2.874157,0.03026407,-3.954485
377,-2.990693,0.06377569,-3.857497
380,-3.003516,0.1285232,-3.908268
383,-3.00319,0.2135142,-4.005015
386,-2.990488,0.257937,-3.929113
389,-2.974259,0.302096,-3.867171
392,-3.069655,0.3491084,-3.69025
395,-3.105865,0.4001287,-3.572857
398,-3.138944,0.4685027,-3.466337
401,-3.067672,0.5526847,-3.408749
405,-3.106483,0.5983106,-3.231727
408,-3.19556,0.5370178,-3.206003
411,-3.223225,0.5299347,-3.181453
414,-3.200726,0.4786927,-3.158934
417,-3.166792,0.5184873,-3.145903
420,-3.05295,0.5650244,-3.223468
423,-2.874592,0.5420726,-3.361887
426,-2.86779,0.5452452,-3.382914
429,-2.850579,0.540534,-3.452753
432,-2.806132,0.5608089,-3.536958
435,-2.847628,0.5497253,-3.508914
438,-2.855403,0.5820107,-3.467796
441,-2.889114,0.5671852,-3.320627
444,-2.854069,0.5926571,-3.181114
447,-2.884754,0.6070994,-2.989115
450,-2.908655,0.62094,-2.832134
453,-2.886911,0.5859817,-2.852118
456,-2.908183,0.5997036,-2.842083
459,-2.866467,0.5960401,-2.890821
462,-2.855185,0.5568116,-2.931751
465,-2.816525,0.5348447,-3.011455
468,-2.778904,0.559301,-3.053837
471,-2.820359,0.5489047,-3.004825
474,-2.796677,0.573241,-3.036779
477,-2.699593,0.5680605,-3.218103
480,-2.729062,0.5958923,-3.337901
483,-2.695135,0.5960401,-3.52315
486,-2.745373,0.6169987,-3.608046
489,-2.833544,0.6623418,-3.501141
492,-2.779116,0.6014786,-3.481867
495,-2.702128,0.6079671,-3.453537
498,-2.661797,0.5538567,-3.423989
503,-2.629547,0.5266016,-3.433697
506,-2.563153,0.5203508,-3.489195
509,-2.556905,0.5332223,-3.549
512,-2.609077,0.516494,-3.597811
515,-2.723459,0.4937324,-3.520865
518,-2.727655,0.51842,-3.507485
521,-2.780349,0.5113666,-3.588079
524,-2.729117,0.5191693,-3.770071
527,-2.698231,0.5129173,-3.930724
530,-2.649042,0.4992423,-3.98962
533,-2.678777,0.4661518,-3.863
536,-2.671119,0.4619286,-3.754374
539,-2.701562,0.4503865,-3.607268
542,-2.762738,0.4259286,-3.379434
545,-2.790913,0.4448829,-3.28559
548,-2.78,0.4271152,-3.309594
551,-2.739057,0.4549445,-3.366053
554,-2.748913,0.4337524,-3.362087
557,-2.729711,0.4038168,-3.172282
560,-2.750493,0.413341,-3.0432
563,-2.73589,0.3889979,-3.053056
566,-2.630417,0.3539507,-3.17778
569,-2.498143,0.3573133,-3.352273
572,-2.42839,0.3455401,-3.509246
575,-2.331025,0.3449809,-3.683857
578,-2.351829,0.3328929,-3.729233
581,-2.355632,0.3390462,-3.76433
584,-2.335558,0.3634817,-3.799728
587,-2.293416,0.3448104,-3.928684
590,-2.360178,0.3490194,-3.953562
593,-2.394933,0.3363822,-3.99897
596,-2.332542,0.339224,-4.138797
600,-2.304216,0.320936,-4.229357
603,-2.276179,0.3308271,-4.134841
606,-2.264029,0.2949842,-4.022115
609,-2.264363,0.3058138,-4.004852
612,-2.235959,0.2924044,-4.025488
615,-2.259273,0.2605796,-4.000451
618,-2.283584,0.2565796,-3.982948
621,-2.357582,0.2763616,-3.917101
624,-2.342635,0.2622979,-3.773211
627,-2.324555,0.2548757,-3.650545
630,-2.323304,0.2261207,-3.516996
633,-2.313187,0.2362903,-3.548647
636,-2.397557,0.2427837,-3.615493
639,-2.404932,0.2572771,-3.580851
642,-2.428878,0.2385924,-3.601486
645,-2.471092,0.2393352,-3.668128
648,-2.446894,0.2372048,-3.804492
651,-2.479016,0.2481689,-3.895808
654,-2.496626,0.256014,-3.829594
657,-2.610505,0.2207999,-3.671605
660,-2.561466,0.218954,-3.667973
663,-2.563614,0.1813399,-3.625069
666,-2.494325,0.2000353,-3.670817
669,-2.449369,0.2150214,-3.692035
672,-2.460487,0.2363274,-3.661049
675,-2.479142,0.2748148,-3.63395
678,-2.448725,0.3068905,-3.652044
681,-2.431056,0.3001616,-3.665838
684,-2.438561,0.3178584,-3.645257
687,-2.512878,0.3559512,-3.555288
690,-2.454803,0.3995085,-3.56653
693,-2.430419,0.4039901,-3.556051
697,-2.343364,0.408766,-3.625765
700,-2.260023,0.4125745,-3.744522
703,-2.205292,0.432745,-3.88117
706,-2.212992,0.4450585,-3.954848
709,-2.258236,0.4365784,-3.951481
712,-2.250664,0.41921,-3.958102
715,-2.184174,0.4174004,-3.989165
718,-2.134005,0.3843605,-3.97788
721,-2.163343,0.3242606,-3.95587
724,-2.220984,0.2741015,-3.913112
727,-2.255298,0.2558485,-3.89186
730,-2.210232,0.2678097,-3.895486
733,-2.289151,0.2371166,-3.720031
736,-2.289714,0.2595557,-3.647064
739,-2.332255,0.2885257,-3.532269
742,-2.317461,0.269118,-3.475793
745,-2.341244,0.2479794,-3.447447
748,-2.320368,0.2434179,-3.531325
751,-2.393624,0.2380239,-3.513887
754,-2.414174,0.2191725,-3.548603
757,-2.438399,0.2117973,-3.531011
760,-2.49003,0.1906545,-3.46411
763,-2.483016,0.1913975,-3.43964
766,-2.468084,0.1605915,-3.428462
769,-2.432315,0.1330112,-3.459294
772,-2.424884,0.1251071,-3.34713
775,-2.407625,0.1367628,-3.315787
778,-2.401324,0.1577168,-3.326809
781,-2.33562,0.1786891,-3.421549
784,-2.314721,0.1778299,-3.49492
787,-2.290526,0.1900419,-3.446179
790,-2.304744,0.2054992,-3.35201
794,-2.328991,0.2032818,-3.25411
797,-2.356585,0.1972219,-3.17002
800,-2.342504,0.1941859,-3.166437
803,-2.328932,0.1990746,-3.288989
806,-2.342987,0.1932475,-3.383398
809,-2.304487,0.1899732,-3.42872
812,-2.35253,0.1617712,-3.368782
815,-2.337862,0.1412109,-3.36824
818,-2.3585,0.1309742,-3.326098
821,-2.355303,0.1417762,-3.315828
824,-2.341968,0.1622201,-3.361682
827,-2.314341,0.1687607,-3.424811
830,-2.328664,0.1781862,-3.45649
833,-2.367195,0.1808816,-3.439125
836,-2.398719,0.1841644,-3.40428
839,-2.444986,0.2066817,-3.43291
842,-2.493703,0.1982243,-3.432814
845,-2.528642,0.1973303,-3.425862
848,-2.539227,0.2005887,-3.422456
851,-2.556682,0.2004568,-3.405001
854,-2.574874,0.2336676,-3.30428
857,-2.519842,0.2670444,-3.290915
