Packet number,Element 1, Element 2, Element 3, Element 4
114,0.9999975,0.002105772,0.0004272581,0.0006103687
117,0.9999778,0.006439263,0.001251231,0.001190195
120,0.9999499,0.008117765,0.001831075,0.00555426
123,0.9999044,0.008423074,0.00170903,0.01083403
126,0.9998472,0.01010162,0.001709036,0.01416059
129,0.9997846,0.01116975,0.002075255,0.017365
132,0.9997244,0.01260413,0.001892146,0.01971494
135,0.999693,0.01434367,0.002197329,0.02008114
138,0.9996629,0.01617479,0.003021328,0.02008115
141,0.9996085,0.01788339,0.003631611,0.02120983
144,0.9995798,0.01919569,0.004089384,0.02133194
147,0.9995741,0.02047732,0.005035407,0.02017215
150,0.9995738,0.02145388,0.00497437,0.01916506
153,0.999572,0.0222785,0.005249179,0.01821954
156,0.9995422,0.02230903,0.005493332,0.01968444
159,0.9995229,0.02227808,0.00543219,0.02069115
162,0.9995112,0.02224798,0.005218663,0.02133243
165,0.9995169,0.02337659,0.005096462,0.01983653
168,0.9995382,0.02417056,0.004760868,0.01779222
171,0.9995043,0.02459774,0.004211523,0.019196
174,0.9994836,0.0252381,0.004211436,0.01943974
177,0.9994755,0.02569644,0.004852415,0.01910448
180,0.9994782,0.02566599,0.005493315,0.01882986
183,0.999483,0.02658086,0.005828868,0.01712039
186,0.999509,0.02615429,0.006408869,0.01602217
189,0.999531,0.02600148,0.006591924,0.01477079
192,0.9995561,0.0254215,0.006652924,0.01403828
195,0.9995567,0.02490271,0.006866555,0.01480124
198,0.9995222,0.02581814,0.006958081,0.01550309
201,0.9995089,0.02581858,0.007202348,0.0162358
204,0.999498,0.02526898,0.00750745,0.01757842
207,0.9994433,0.02575743,0.007965272,0.01965377
211,0.9993958,0.02651994,0.007324264,0.02124036
214,0.9993493,0.02716121,0.007202297,0.02261399
217,0.9993054,0.02783223,0.007202201,0.02371233
220,0.9992648,0.0278328,0.007110793,0.02539133
223,0.9992323,0.02563543,0.006775077,0.02883985
226,0.9991828,0.02438371,0.006439253,0.03158591
229,0.9991364,0.02475028,0.006134165,0.0328071
232,0.9991285,0.02502475,0.005981526,0.03286787
