Packet Number,Battery voltage (V),Thermometer (˚C)
112,4.130371,32.59766
273,4.131836,33.05469
434,4.135254,32.88281
595,4.133545,33.11328
757,4.135254,33.28516
918,4.131836,33.33984
1079,4.131836,33.11328
1240,4.131836,33.22656
1402,4.131836,33.33984
1563,4.131836,33.22656
1724,4.131836,33.45703
1885,4.125488,33.625
2047,4.131836,33.625
2208,4.131836,33.625
2369,4.133545,33.96875
2530,4.133545,33.625
2692,4.133545,33.68359
2853,4.131836,33.68359
3014,4.131836,33.91406
3175,4.131836,33.85547
3337,4.131836,33.96875
3498,4.128662,33.74219
3659,4.127197,33.79688
3820,4.128662,33.91406
3982,4.135254,33.91406
4143,4.133545,33.96875
4304,4.133545,34.02734
4465,4.133545,33.96875
4627,4.131836,33.79688
4788,4.131836,33.91406
4949,4.133545,33.96875
5110,4.130371,34.02734
5272,4.123779,33.96875
5433,4.130371,33.96875
5594,4.131836,33.96875
5755,4.131836,33.79688
5917,4.133545,33.91406
6078,4.135254,33.85547
6239,4.133545,34.08203
6400,4.131836,33.96875
6562,4.131836,34.08203
6723,4.133545,34.19922
6884,4.128662,34.19922
7045,4.131836,33.96875
7207,4.130371,33.96875
7368,4.131836,33.96875
7529,4.131836,34.02734
7690,4.131836,34.02734
7852,4.133545,33.96875
8013,4.133545,34.19922
8174,4.133545,34.08203
8335,4.130371,34.08203
8497,4.128662,34.08203
8658,4.130371,34.25391
8819,4.131836,34.02734
8980,4.130371,34.02734
9142,4.130371,34.14063
9303,4.133545,34.14063
9464,4.131836,33.91406
9625,4.133545,34.25391
9787,4.133545,34.37109
9948,4.133545,34.25391
10109,4.130371,34.14063
10270,4.128662,34.37109
10432,4.128662,34.08203
10593,4.131836,34.42578
10754,4.130371,34.08203
10915,4.130371,34.3125
11077,4.130371,34.25391
11238,4.130371,34.42578
11399,4.130371,34.14063
11560,4.133545,34.25391
11722,4.130371,34.19922
11883,4.130371,33.91406
12044,4.130371,34.14063
12205,4.131836,34.3125
12367,4.130371,34.02734
12528,4.130371,34.42578
12689,4.131836,34.14063
12850,4.130371,34.14063
13012,4.130371,34.48438
13173,4.130371,33.91406
13334,4.128662,34.14063
13495,4.128662,34.53906
13657,4.131836,34.42578
13818,4.135254,34.53906
13979,4.131836,34.42578
14140,4.130371,34.25391
14302,4.130371,34.42578
14463,4.130371,34.25391
14624,4.130371,34.42578
14785,4.130371,34.37109
14947,4.128662,34.3125
15108,4.123779,34.42578
15269,4.128662,34.25391
15430,4.133545,34.42578
15592,4.131836,34.19922
15753,4.131836,34.3125
15914,4.131836,34.25391
16075,4.130371,34.37109
16237,4.130371,34.25391
16398,4.130371,34.37109
16559,4.130371,34.37109
16720,4.128662,34.14063
16882,4.128662,34.37109
17043,4.133545,34.48438
17204,4.130371,34.42578
17365,4.131836,34.53906
17527,4.131836,34.37109
