Packet Number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
113,-0.9375,-1.25,0.875,0.01904297,-0.05224609,0.9780273,0.2099609,0.03125,-0.4487305
117,-0.9375,-1.25,0.875,0.01904297,-0.05224609,0.9780273,0.2099609,0.03125,-0.4487305
118,-0.9375,-1.875,0.25,0.01904297,-0.06787109,0.9975586,0.2099609,0.03125,-0.4487305
122,-1.3125,-2,0.125,0.02685547,-0.03271484,0.9897461,0.2148438,0.04101563,-0.4536133
123,-1.75,-2.125,0,0.003417969,-0.03271484,0.9936523,0.2148438,0.04101563,-0.4536133
127,-1.5625,-2.3125,-0.1875,0,-0.009277344,1.020508,0.2148438,0.04101563,-0.4536133
128,-1.25,-2.1875,-0.0625,-0.00390625,-0.02880859,1.020508,0.2148438,0.04101563,-0.4536133
132,-1,-1.9375,-0.0625,0.01123047,-0.03271484,1.001465,0.2148438,0.04101563,-0.4536133
133,-0.8125,-1.6875,0.0625,-0.0078125,-0.04443359,1.009277,0.2148438,0.04101563,-0.4536133
137,-0.625,-1.3125,0,0.01513672,-0.03271484,1.001465,0.2148438,0.04101563,-0.4536133
138,-0.875,-1.0625,0.375,0.007324219,-0.03271484,0.9819336,0.2124023,0.03857422,-0.4384766
142,-0.8125,-0.625,0.4375,0.003417969,-0.02490234,1.005371,0.2124023,0.03857422,-0.4384766
143,-1.1875,-0.625,0.625,-0.00390625,-0.05615234,1.012695,0.2124023,0.03857422,-0.4384766
147,-1.4375,-0.6875,0.625,0.02294922,-0.04052734,1.009277,0.2050781,0.03125,-0.4384766
148,-1.625,-1.0625,0.8125,0,-0.05224609,0.9858398,0.2050781,0.03125,-0.4384766
152,-1.625,-1,0.6875,0.03076172,-0.04052734,0.9936523,0.2050781,0.03125,-0.4384766
153,-2,-0.875,0.625,0.01904297,-0.06005859,0.9897461,0.2050781,0.03125,-0.4384766
157,-2.6875,-1.1875,0.625,0.01904297,-0.04443359,1.005371,0.2099609,0.03857422,-0.4414063
158,-2.875,-1.3125,0.625,0.02294922,-0.06005859,1.009277,0.2099609,0.03857422,-0.4414063
162,-3.125,-1.375,0.875,0.007324219,-0.03271484,1.001465,0.2099609,0.03857422,-0.4414063
163,-2.875,-1.9375,0.75,0.02685547,-0.06787109,1.005371,0.2021484,0.02587891,-0.4438477
167,-2.75,-2.375,0.5625,0.03515625,-0.06005859,0.9741211,0.2021484,0.02587891,-0.4438477
168,-2.5,-2.75,0.75,0.02294922,-0.04443359,0.9858398,0.2021484,0.02587891,-0.4438477
172,-2.25,-3.125,0.8125,0.01123047,-0.05224609,1.005371,0.2021484,0.02587891,-0.4438477
173,-2.125,-3,1.0625,-0.00390625,-0.05224609,1.001465,0.2021484,0.02587891,-0.4438477
177,-2.0625,-2.5,1.1875,0.02294922,-0.05224609,1.005371,0.2021484,0.02587891,-0.4438477
178,-2.125,-2.3125,1.4375,0.003417969,-0.05224609,1.001465,0.2021484,0.02587891,-0.4438477
182,-2.125,-2,1.1875,0.01904297,-0.04833984,1.001465,0.2148438,0.03613281,-0.4462891
183,-2.125,-1.5625,0.75,0.01123047,-0.03662109,1.005371,0.2148438,0.03613281,-0.4462891
