Packet Number,Roll | Phi | X (degrees), Pitch | Theta | Y (degrees), Yaw | Psi | Z (degrees)
116,-0.01749349,0.01047868,-0.08393352
121,0.003415494,0.03148333,-0.2972573
126,0.2304017,0.08159462,-0.5768631
131,0.4393645,0.1711784,-0.8631531
136,0.6826138,0.2763712,-1.187419
141,0.751323,0.3618055,-1.30563
146,0.8449805,0.3985908,-1.406476
151,0.8574734,0.4937448,-1.482653
156,0.664741,0.5744199,-1.350131
161,0.5083221,0.5959886,-1.112984
166,0.3590483,0.5694951,-0.9389602
171,0.3270115,0.6356888,-0.9424276
176,0.2950477,0.6774551,-0.9669765
181,0.07560702,0.7069561,-0.7829099
186,0.01348891,0.7939357,-0.5769513
191,-0.2014549,0.8493205,-0.2847715
196,-0.1149399,0.9333777,-0.3716456
201,-0.1481987,0.5521939,-0.2734924
206,-0.01936202,0.6469123,-0.3323389
211,0.007905533,0.6889626,-0.4301015
216,0.04543236,0.7765886,-0.5207818
221,0.1493189,0.7877379,-0.6634475
226,0.1519489,0.8647631,-0.7192815
231,0.2552047,0.9287349,-0.8757561
236,0.2727554,0.9393185,-0.8581027
241,0.3248181,0.9503074,-0.8961137
246,0.3181776,0.9013056,-0.8998021
251,0.2525731,0.8342201,-0.8549765
256,0.2418534,0.830717,-0.8900326
261,0.2797775,0.8521473,-0.9421898
266,0.2273525,0.8412393,-0.9495956
271,0.2193985,0.8763126,-1.037015
277,0.1212731,0.9767539,-0.9537281
282,0.2184456,1.016122,-1.001784
287,0.2737845,1.072591,-1.015147
292,0.3527731,1.129577,-1.112185
297,0.4213651,1.13771,-1.240872
302,0.5449523,1.227121,-1.368651
307,0.5719305,1.325289,-1.353884
312,0.5790104,1.349693,-1.322205
317,0.6519858,1.37515,-1.338727
322,0.593805,1.394762,-1.213385
327,0.4940909,1.365223,-1.09582
332,0.5388287,1.376385,-1.147694
337,0.6293699,1.339184,-1.213257
342,0.6500093,1.360443,-1.223387
347,0.5806891,1.36292,-1.168242
352,0.5319243,1.358864,-1.154852
357,0.4897723,1.393352,-1.141216
362,0.4829886,1.424581,-1.0992
367,0.4668808,1.347224,-1.043727
372,0.429616,1.301163,-0.9743932
377,0.4670217,1.322775,-1.050819
382,0.5413662,1.383752,-1.22107
387,0.5099961,1.397314,-1.200405
392,0.4342012,1.378734,-1.120963
397,0.4564801,1.364531,-1.022797
402,0.5191861,1.344321,-1.060643
407,0.5080416,1.347948,-1.113217
412,0.5725951,1.387667,-1.238159
417,0.648109,1.37876,-1.366731
422,0.5779608,1.41629,-1.346402
427,0.4430814,1.372367,-1.260769
432,0.4870975,1.397787,-1.358096
438,0.4551535,1.418462,-1.375889
443,0.5270334,1.426861,-1.493864
448,0.4858564,1.394719,-1.463039
453,0.4212108,1.330587,-1.37659
458,0.4843348,1.313871,-1.379425
463,0.5711911,1.276954,-1.473078
468,0.5736608,1.28092,-1.560458
473,0.552555,1.26678,-1.588738
478,0.5700946,1.214877,-1.651749
483,0.5690545,1.2605,-1.686502
488,0.444494,1.261681,-1.561976
493,0.4513065,1.289682,-1.544306
498,0.5010587,1.269168,-1.498374
503,0.4811286,1.292836,-1.376053
508,0.4821604,1.29943,-1.278094
513,0.5031566,1.362349,-1.218128
518,0.5836175,1.342306,-1.234759
523,0.6302528,1.349223,-1.129259
528,0.6832462,1.377321,-1.062019
533,0.6325336,1.376002,-0.91572
538,0.744199,1.38056,-0.9353617
543,0.6966404,1.386383,-0.8134658
548,0.7849698,1.402446,-1.018656
553,0.6626537,1.429181,-0.9920204
558,0.5557562,1.385782,-0.8956108
563,0.398378,1.341606,-0.6248572
568,0.4147958,1.316496,-0.4254097
573,0.3254671,1.266843,-0.2971755
578,0.2741776,1.206992,-0.1999534
583,0.2456611,1.182585,-0.2562622
588,0.2281862,1.19303,-0.2529246
593,0.1940535,1.213794,-0.1693106
599,0.2878683,1.214116,-0.2277764
604,0.3331324,1.242221,-0.2412046
609,0.2907383,1.259707,-0.2765934
614,0.3314679,1.263624,-0.3880494
619,0.3203301,1.270737,-0.4441096
624,0.3816684,1.292408,-0.5797521
629,0.4294649,1.258137,-0.7017457
634,0.5481697,1.238027,-0.7320138
639,0.5592796,1.216895,-0.6865327
