Packet Number,Element 1, Element 2, Element 3, Element 4
114,0.9999975,0.002105772,0.0004272581,0.0006103687
119,0.9999778,0.006439263,0.001251231,0.001190195
124,0.9999499,0.008117765,0.001831075,0.00555426
129,0.9999044,0.008423074,0.00170903,0.01083403
134,0.9998472,0.01010162,0.001709036,0.01416059
139,0.9997846,0.01116975,0.002075255,0.017365
144,0.9997244,0.01260413,0.001892146,0.01971494
149,0.999693,0.01434367,0.002197329,0.02008114
154,0.9996629,0.01617479,0.003021328,0.02008115
159,0.9996085,0.01788339,0.003631611,0.02120983
164,0.9995798,0.01919569,0.004089384,0.02133194
169,0.9995741,0.02047732,0.005035407,0.02017215
174,0.9995738,0.02145388,0.00497437,0.01916506
179,0.999572,0.0222785,0.005249179,0.01821954
184,0.9995422,0.02230903,0.005493332,0.01968444
189,0.9995229,0.02227808,0.00543219,0.02069115
194,0.9995112,0.02224798,0.005218663,0.02133243
199,0.9995169,0.02337659,0.005096462,0.01983653
204,0.9995382,0.02417056,0.004760868,0.01779222
209,0.9995043,0.02459774,0.004211523,0.019196
214,0.9994836,0.0252381,0.004211436,0.01943974
219,0.9994755,0.02569644,0.004852415,0.01910448
224,0.9994782,0.02566599,0.005493315,0.01882986
229,0.999483,0.02658086,0.005828868,0.01712039
234,0.999509,0.02615429,0.006408869,0.01602217
239,0.999531,0.02600148,0.006591924,0.01477079
244,0.9995561,0.0254215,0.006652924,0.01403828
249,0.9995567,0.02490271,0.006866555,0.01480124
254,0.9995222,0.02581814,0.006958081,0.01550309
259,0.9995089,0.02581858,0.007202348,0.0162358
264,0.999498,0.02526898,0.00750745,0.01757842
269,0.9994433,0.02575743,0.007965272,0.01965377
275,0.9993958,0.02651994,0.007324264,0.02124036
280,0.9993493,0.02716121,0.007202297,0.02261399
285,0.9993054,0.02783223,0.007202201,0.02371233
290,0.9992648,0.0278328,0.007110793,0.02539133
295,0.9992323,0.02563543,0.006775077,0.02883985
300,0.9991828,0.02438371,0.006439253,0.03158591
305,0.9991364,0.02475028,0.006134165,0.0328071
310,0.9991285,0.02502475,0.005981526,0.03286787
315,0.9991526,0.02484149,0.006042523,0.03225731
320,0.9991498,0.02572643,0.0058594,0.03167738
325,0.999148,0.02532965,0.005920425,0.03204354
330,0.9991472,0.02471928,0.005950938,0.03253179
335,0.9991132,0.02490306,0.006164728,0.03338719
340,0.9990384,0.02478064,0.006134125,0.03564506
345,0.9990063,0.02447543,0.006286705,0.03671314
350,0.9989875,0.02517763,0.006500407,0.03671357
355,0.9989674,0.02557386,0.006652866,0.03695697
360,0.9989476,0.02502481,0.00674449,0.03784239
365,0.9989425,0.02462795,0.005981509,0.038361
370,0.9990191,0.02511662,0.005767973,0.03601168
375,0.9990744,0.02444508,0.005249131,0.03500438
380,0.9990492,0.02383484,0.004974494,0.03616427
385,0.9990252,0.02410893,0.004669198,0.0366822
390,0.998995,0.02450567,0.004211435,0.03729256
395,0.998973,0.02529934,0.00421147,0.03735391
400,0.9989547,0.02597105,0.004181003,0.03738488
405,0.9989759,0.02713049,0.004333554,0.03595019
410,0.9989853,0.02734438,0.004333595,0.03552327
415,0.9989949,0.02740484,0.004486093,0.03518684
420,0.9990218,0.02798543,0.004058955,0.03399757
425,0.999059,0.02886977,0.004119894,0.03210465
430,0.9990855,0.02899173,0.003845219,0.031189
436,0.9991129,0.02902304,0.004058953,0.03024378
441,0.9991467,0.0297861,0.003631707,0.02838225
446,0.9991604,0.02948042,0.003540092,0.02822918
451,0.9991584,0.02935829,0.003662157,0.02841223
456,0.9991466,0.02926639,0.00268555,0.02902225
461,0.9991346,0.02966367,0.002075236,0.02908382
466,0.9991208,0.02929705,0.001708994,0.02993792
471,0.9991344,0.02951107,0.001739536,0.02926693
476,0.9991742,0.02966394,0.00177007,0.02771076
481,0.9991822,0.02966327,0.001495371,0.02743547
486,0.999191,0.02929731,0.00170901,0.02749675
491,0.9991984,0.02850405,0.001342803,0.0280768
496,0.9991963,0.02819881,0.0009460641,0.02847348
501,0.9991817,0.02813737,0.0004577663,0.0290529
506,0.9991654,0.02810725,0.0005798455,0.02963316
511,0.9991475,0.02749639,0.0003967293,0.0307923
516,0.9991324,0.02755785,0.0006408803,0.03122003
521,0.9991341,0.02725272,0.000579845,0.03143371
526,0.9991478,0.02612311,0.0005493177,0.03195198
531,0.9991496,0.02645885,0.0005798364,0.03161634
536,0.9991274,0.02584871,0.0001525898,0.0328068
541,0.9991007,0.02487223,-0.0006103615,0.03433283
546,0.9990905,0.02505508,-0.001129157,0.03448507
551,0.9990934,0.02606224,-0.001434339,0.03363067
556,0.9990755,0.02615413,-0.002014204,0.03405835
561,0.9990461,0.02612364,-0.002777162,0.03488238
566,0.9990714,0.02600143,-0.003143365,0.0342108
571,0.9990928,0.0258486,-0.003509551,0.03366117
576,0.999121,0.02667252,-0.003906273,0.03210468
581,0.9991437,0.02697831,-0.00433362,0.03106779
586,0.9991626,0.02725266,-0.004913414,0.03012137
591,0.9991917,0.02661175,-0.005615322,0.02960251
597,0.9992254,0.02694753,-0.005981558,0.02804619
602,0.9992127,0.02774065,-0.00546268,0.0278322
607,0.9992121,0.02798478,-0.005401642,0.02761856
612,0.9992247,0.02780202,-0.004943937,0.0274358
617,0.9992347,0.02749711,-0.00527969,0.027314
622,0.9992412,0.02648937,-0.005676293,0.02798473
627,0.9992475,0.02493312,-0.005462703,0.02920563
632,0.9992435,0.02487199,-0.005493199,0.02938862
637,0.9992293,0.0247198,-0.00546277,0.02999946
642,0.9992158,0.02432274,-0.005645804,0.03073148
647,0.9992148,0.02468892,-0.005554245,0.03048731
652,0.9992228,0.02475016,-0.005828952,0.03012134
657,0.9992539,0.02505535,-0.005676365,0.0288396
662,0.9992949,0.02475043,-0.005859535,0.02761916
667,0.9993325,0.02502451,-0.005950951,0.02594004
672,0.9993613,0.02523809,-0.006042494,0.0245667
677,0.9993632,0.02505503,-0.005737328,0.02474986
682,0.9993601,0.02523806,-0.005859381,0.02465823
687,0.9993588,0.02487258,-0.005829033,0.02508621
692,0.9993538,0.0247809,-0.005493302,0.0254523
697,0.9993449,0.02444498,-0.005310145,0.02615399
702,0.9993423,0.02410922,-0.005523757,0.02652014
707,0.9993451,0.0244755,-0.005432219,0.02609296
712,0.9993419,0.0242618,-0.005645827,0.02636754
717,0.9993193,0.02340748,-0.005615354,0.02795469
722,0.9992824,0.02365147,-0.00588998,0.02899213
727,0.9992412,0.02334604,-0.005920435,0.03060926
732,0.9992071,0.02377393,-0.006134224,0.03134253
737,0.9992154,0.02453635,-0.00653082,0.03039578
742,0.9992346,0.02407905,-0.005981613,0.03024377
747,0.9992577,0.02340747,-0.006012087,0.0299994
752,0.9992757,0.02307148,-0.005523726,0.02975488
759,0.9992806,0.02279693,-0.005279609,0.02984658
764,0.9992793,0.02221706,-0.005218567,0.03033483
769,0.9992641,0.02215636,-0.005340721,0.0308541
774,0.9992412,0.02261362,-0.005218527,0.03128065
779,0.9992396,0.02362067,-0.005035413,0.03060921
784,0.9992415,0.02365123,-0.005249047,0.0304872
789,0.999209,0.02410895,-0.005218519,0.03118904
794,0.9991687,0.02365167,-0.005310182,0.03277664
799,0.9991283,0.02337678,-0.005279611,0.03418015
804,0.999121,0.02294936,-0.005157502,0.03469869
809,0.9991537,0.02322407,-0.004852335,0.03360013
814,0.9991868,0.02316309,-0.004791311,0.03265416
819,0.999222,0.02343786,-0.004669262,0.03137256
824,0.9992704,0.02398689,-0.004425061,0.02938851
829,0.9992877,0.02423145,-0.004577729,0.02856503
834,0.9992845,0.02413981,-0.004425124,0.02877856
839,0.999278,0.02377344,-0.004669238,0.02926666
844,0.9992775,0.02386498,-0.004486129,0.02923613
849,0.9993293,0.02371217,-0.004180911,0.02758791
854,0.9993553,0.0238959,-0.004242057,0.02645944
859,0.9993566,0.02377386,-0.004028433,0.02655104
864,0.9993494,0.02285814,-0.003723222,0.0276495
869,0.9993318,0.02169807,-0.003753674,0.0291749
874,0.9993041,0.02108777,-0.003662131,0.03054828
879,0.999274,0.02023328,-0.003662133,0.03207418
884,0.9992577,0.02041668,-0.00357063,0.03247137
889,0.999247,0.02044698,-0.003631628,0.0327762
894,0.9992398,0.02026373,-0.003845225,0.03308114
899,0.9992098,0.01989752,-0.003692639,0.03421032
904,0.9991904,0.02047759,-0.003753716,0.03442432
909,0.9991707,0.02078299,-0.003662202,0.03482144
914,0.9991386,0.02023363,-0.003692714,0.03604211
920,0.9991151,0.01998963,-0.003540148,0.03683585
925,0.9991499,0.01974496,-0.00360109,0.0360109
930,0.9991875,0.01965355,-0.003265418,0.03503458
935,0.9991925,0.01965364,-0.003356989,0.03488217
940,0.9991913,0.01940948,-0.003234913,0.03506523
945,0.9991955,0.01962318,-0.002960263,0.03485175
950,0.9991966,0.01983684,-0.002929748,0.0346992
955,0.9992031,0.02047785,-0.003112877,0.03411958
960,0.999248,0.02035545,-0.002960237,0.03286779
965,0.9992859,0.02020301,-0.002868705,0.0317999
970,0.999323,0.02020314,-0.002594059,0.03064041
975,0.9993161,0.02011145,-0.002685595,0.03091486
980,0.9992827,0.02084382,-0.002777142,0.03149462
985,0.9992906,0.02090502,-0.002899237,0.03118968
990,0.9992809,0.02111845,-0.002746619,0.03137249
995,0.9992546,0.02148475,-0.002777148,0.03195246
1000,0.9992204,0.02127105,-0.002777138,0.03314255
1005,0.9991875,0.02154566,-0.002899203,0.03393594
1010,0.9992036,0.0216986,-0.002960287,0.03335663
1015,0.999227,0.02270554,-0.002655084,0.03198308
1020,0.9992377,0.02227852,-0.002624593,0.0319529
1025,0.9992495,0.02230863,-0.002288847,0.03158608
1030,0.9992499,0.02169828,-0.002441437,0.03198283
1035,0.9992523,0.02130159,-0.002563515,0.03216602
1040,0.9992586,0.02139328,-0.002746641,0.03189155
1045,0.9992621,0.02154595,-0.003082352,0.03164752
1050,0.9992623,0.02127129,-0.003357018,0.03180012
1055,0.9992618,0.02111869,-0.00329598,0.03192218
1060,0.9992658,0.02117981,-0.003448586,0.03173919
1065,0.9992757,0.02182025,-0.003784211,0.03094508
1070,0.9992826,0.02130159,-0.004150453,0.03103684
1075,0.9992899,0.02108812,-0.004181001,0.03094551
1081,0.9992865,0.02032509,-0.004211505,0.03155577
1086,0.9992676,0.01959288,-0.004242073,0.03259377
1091,0.9992368,0.01910458,-0.004425182,0.03378398
1096,0.9992132,0.01916517,-0.004547149,0.03442406
1101,0.9992068,0.01956237,-0.004486222,0.03439437
1106,0.9992066,0.01950133,-0.004333629,0.0344554
1111,0.9992084,0.01892093,-0.004302986,0.03472907
1116,0.9992208,0.01849391,-0.00399786,0.03463794
1121,0.9992239,0.01876864,-0.003479064,0.03445495
1126,0.9992281,0.01928752,-0.003051823,0.03408887
1131,0.9992288,0.01959272,-0.002899234,0.03390578
1136,0.9992352,0.01919611,-0.002990808,0.03393652
1141,0.9992729,0.01989757,-0.002716079,0.03240984
1146,0.999293,0.01989797,-0.002899243,0.03176961
1151,0.9993163,0.02026404,-0.003143368,0.03076228
1156,0.9993343,0.02014172,-0.002960222,0.03027361
1161,0.9993379,0.02035541,-0.002777125,0.03002957
1166,0.9993194,0.02017255,-0.00274664,0.03076237
1171,0.999311,0.02081326,-0.0027161,0.03060953
1176,0.9992982,0.02099674,-0.002563555,0.03091525
1181,0.9992985,0.02121037,-0.002502519,0.03076267
1186,0.9993069,0.02166767,-0.002319356,0.03018215
1191,0.9993146,0.0216068,-0.002319374,0.02996876
1196,0.9993206,0.02148486,-0.002044724,0.02987738
1201,0.9993193,0.02117965,-0.001800575,0.03015201
1206,0.9993497,0.02111861,-0.00170902,0.02917542
1211,0.9993608,0.02096561,-0.00180054,0.02890019
1216,0.9993591,0.02090518,-0.001983703,0.02899258
1221,0.9993464,0.02032507,-0.002166786,0.0298162
1226,0.9993308,0.02014164,-0.002166753,0.03045661
1231,0.9993478,0.01992836,-0.002258344,0.03002987
1236,0.9993695,0.02005026,-0.002380396,0.02920563
1242,0.9993898,0.02026429,-0.002349926,0.0283517
1247,0.9994055,0.02050814,-0.002288855,0.02761885
1252,0.9994089,0.02038614,-0.002258344,0.02758842
1257,0.9993812,0.02026412,-0.002319387,0.02865664
1262,0.9993548,0.02038628,-0.002288878,0.02948075
1267,0.9993499,0.02005048,-0.002258349,0.02987734
1272,0.9993572,0.02047788,-0.002014218,0.02935875
1277,0.99936,0.02035524,-0.001831056,0.02935794
1282,0.9993671,0.02053849,-0.001739516,0.02899193
1287,0.9993702,0.02050804,-0.001831075,0.02890047
1292,0.9993608,0.02038578,-0.002014163,0.02929692
1297,0.9993494,0.02014202,-0.002075238,0.02984681
1302,0.9993385,0.02026387,-0.002166769,0.03012115
1307,0.9993361,0.02059952,-0.002197282,0.02996849
1312,0.9993395,0.02087425,-0.002227807,0.02966341
1317,0.9993233,0.02127129,-0.002441468,0.02990798
1322,0.9993143,0.02169835,-0.00238041,0.02990771
1327,0.9993095,0.02200342,-0.002380398,0.02984653
1332,0.9993083,0.02209495,-0.002410913,0.02981598
1337,0.9993094,0.02224757,-0.002410916,0.02966342
1342,0.9993312,0.02239996,-0.002685554,0.02877815
1347,0.9993448,0.02191197,-0.002960253,0.02865647
1352,0.9993579,0.0216376,-0.003173921,0.02838218
1357,0.9993612,0.02151494,-0.00323487,0.02835089
1362,0.9993539,0.02172907,-0.002990798,0.02847362
1367,0.9993507,0.02194262,-0.003082343,0.02841249
1372,0.9993458,0.02197303,-0.00305181,0.02856494
1377,0.9993501,0.02218676,-0.00292975,0.02825988
1382,0.9993523,0.02175955,-0.003021312,0.02850409
1387,0.9993563,0.02148497,-0.003082361,0.02856524
1392,0.9993594,0.02133244,-0.003143407,0.02856533
1397,0.9993615,0.02117925,-0.003234871,0.02859504
1404,0.9993661,0.02102676,-0.003326439,0.02853413
1409,0.9993728,0.02093535,-0.003692677,0.0283207
1414,0.999384,0.02099662,-0.003784274,0.02786324
1419,0.99939,0.0209961,-0.003997804,0.02761842
1424,0.9993946,0.02127086,-0.00390627,0.02725233
1429,0.9993883,0.02121034,-0.004119993,0.02749714
1434,0.9993855,0.02136287,-0.004028426,0.02749706
1439,0.9993852,0.02182064,-0.003906352,0.02716135
1444,0.999386,0.02191221,-0.003845318,0.02706982
1449,0.9993888,0.02200383,-0.003875847,0.02688678
1454,0.9993982,0.02197284,-0.003936802,0.02655052
1459,0.9994047,0.02151521,-0.003997863,0.02667276
1464,0.9994126,0.02157642,-0.00390634,0.02633727
1469,0.9994083,0.02148478,-0.004058914,0.02655079
1474,0.999391,0.02099612,-0.00436402,0.02752689
1479,0.9994025,0.02093533,-0.004699767,0.02709996
1484,0.9994156,0.02108819,-0.004852421,0.02645943
1489,0.99941,0.02084393,-0.005066021,0.0268255
