Packet Number,Element 11, Element 12, Element 13, Element 21, Element 22, Element 23, Element 31, Element 32, Element 33
70,0.9988731,0.009233089,-0.04655546,-0.01308024,0.9964619,-0.08302103,0.04562421,0.08353642,0.9954597
73,0.9964131,0.06568764,-0.05334726,-0.06877743,0.9959264,-0.05830997,0.0492997,0.06176991,0.9968721
76,0.9926614,0.1054825,-0.05913408,-0.1094437,0.991643,-0.06831179,0.05143419,0.07428233,0.99591
79,0.9886531,0.1394749,-0.05578021,-0.1432209,0.9872123,-0.06999602,0.04530422,0.07719069,0.9959864
82,0.9840468,0.1691492,-0.05514203,-0.1732779,0.9814942,-0.08150986,0.04033426,0.0897644,0.995146
85,0.979103,0.1949352,-0.05794404,-0.1996204,0.9756626,-0.09074105,0.03884521,0.1004117,0.9941874
88,0.9741742,0.2176943,-0.05994614,-0.2226098,0.9704078,-0.0935588,0.03780499,0.1044872,0.9938073
91,0.9695644,0.2370771,-0.0611495,-0.2419348,0.9660481,-0.09065601,0.0375809,0.102691,0.9940031
94,0.9660872,0.2514402,-0.05876409,-0.2562852,0.9614807,-0.09936172,0.03151701,0.1110525,0.9933146
97,0.9623988,0.2646968,-0.06102467,-0.270046,0.9565984,-0.1095193,0.0293867,0.1218807,0.9921095
100,0.9587277,0.2791533,-0.05399118,-0.2834934,0.9530525,-0.1064088,0.02175205,0.1173232,0.9928557
103,0.9539214,0.2957165,-0.05085138,-0.2995969,0.9480612,-0.1068726,0.01660623,0.117183,0.9929715
106,0.9498216,0.3069528,-0.06015621,-0.3120165,0.9433138,-0.1131577,0.02201212,0.1262493,0.9917542
109,0.946214,0.3190247,-0.05387641,-0.3232927,0.9388198,-0.1187419,0.01269866,0.129773,0.9914626
112,0.9435942,0.3254307,-0.06103269,-0.3307985,0.9344897,-0.1315347,0.01422901,0.1443049,0.989431
115,0.9408021,0.3340361,-0.05754483,-0.3388332,0.9313868,-0.1330818,0.009142388,0.1447017,0.9894331
118,0.9382098,0.3411365,-0.0582101,-0.345912,0.9294644,-0.1282224,0.01036288,0.1404351,0.9900358
121,0.9357507,0.3474875,-0.06018989,-0.3524169,0.9277415,-0.1228733,0.01314371,0.1361908,0.9905953
124,0.9340814,0.3522186,-0.05860067,-0.3568759,0.9262124,-0.1215334,0.01147033,0.1344353,0.9908561
127,0.9320595,0.3575173,-0.05870802,-0.3621986,0.9234055,-0.1270213,0.008798999,0.1396554,0.9901611
130,0.9297025,0.3629143,-0.06282076,-0.3681785,0.9203304,-0.1320477,0.00989385,0.1458943,0.9892507
133,0.9272742,0.3697578,-0.05866656,-0.3743349,0.9182126,-0.1294566,0.006000773,0.1420027,0.9898481
136,0.9256771,0.3727062,-0.06490148,-0.3781343,0.9168185,-0.1282908,0.01168807,0.1432974,0.9896108
139,0.9259304,0.3718566,-0.0661487,-0.3775114,0.9166268,-0.1314552,0.01175117,0.1466903,0.9891127
142,0.9266222,0.3703701,-0.06478508,-0.3758601,0.91703,-0.1333604,0.01001718,0.1479248,0.9889478
145,0.9274364,0.3680916,-0.06610809,-0.3737009,0.9189864,-0.1257445,0.01446695,0.1413247,0.9898576
148,0.9282166,0.3665698,-0.06356655,-0.3719288,0.9184778,-0.1344154,0.009111853,0.1484088,0.9888842
151,0.9258943,0.3724771,-0.06309412,-0.3776265,0.91732,-0.1261846,0.01087659,0.1406596,0.9899984
154,0.9234673,0.3781303,-0.06500297,-0.3835103,0.914714,-0.1273496,0.0113044,0.1425325,0.9897255
