Packet Number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
113,0.1875,0.25,0.125,0.04443359,-0.07373047,1.013184,-0.2143555,0.1225586,-0.4311523
117,0.1875,0.25,0.125,0.04443359,-0.07373047,1.013184,-0.2143555,0.1225586,-0.4311523
118,-0.0625,-0.25,0,0.06396484,-0.07763672,0.9936523,-0.2143555,0.1225586,-0.4311523
122,0.125,0.0625,0,0.05615234,-0.07373047,0.9819336,-0.2119141,0.1274414,-0.4287109
123,-0.1875,-0.1875,0.0625,0.05224609,-0.07763672,1.005371,-0.2119141,0.1274414,-0.4287109
127,0.1875,-0.125,0,0.05224609,-0.05419922,1.005371,-0.2119141,0.1274414,-0.4287109
128,0.1875,0,0,0.03662109,-0.07763672,0.9936523,-0.206543,0.1123047,-0.434082
132,-0.125,-0.125,-0.125,0.06005859,-0.09375,0.9936523,-0.206543,0.1123047,-0.434082
133,0.3125,0,0.25,0.06005859,-0.05419922,0.9858398,-0.206543,0.1123047,-0.434082
137,0.1875,-0.0625,0.0625,0.04833984,-0.06982422,1.005371,-0.206543,0.1123047,-0.434082
138,0,-0.0625,-0.1875,0.04443359,-0.05810547,0.9936523,-0.206543,0.1123047,-0.434082
142,0.125,0.0625,0.0625,0.05615234,-0.06982422,0.9858398,-0.206543,0.1123047,-0.434082
143,0,-0.1875,0,0.04833984,-0.08544922,0.9936523,-0.206543,0.1123047,-0.434082
147,0,0.25,0.0625,0.05224609,-0.07373047,0.9858398,-0.2119141,0.1225586,-0.4208984
148,0.0625,0,0.0625,0.02099609,-0.08154297,0.9975586,-0.2119141,0.1225586,-0.4208984
152,0,-0.1875,0.125,0.05224609,-0.09765625,1.001465,-0.2119141,0.1225586,-0.4208984
153,-0.0625,0,-0.25,0.05615234,-0.09375,0.9975586,-0.2089844,0.125,-0.4233398
157,0.125,0,0.25,0.06005859,-0.08544922,1.005371,-0.2089844,0.125,-0.4233398
158,0,0,0,0.06396484,-0.06591797,1.001465,-0.2089844,0.125,-0.4233398
162,0,0,0.0625,0.05224609,-0.08154297,0.9936523,-0.206543,0.1196289,-0.4311523
163,0.125,-0.0625,0.0625,0.05224609,-0.05419922,0.9975586,-0.206543,0.1196289,-0.4311523
167,-0.0625,0,0,0.04833984,-0.06201172,0.9936523,-0.206543,0.1196289,-0.4311523
168,0.125,0.25,0.1875,0.04443359,-0.07763672,0.9936523,-0.206543,0.1196289,-0.4311523
