Packet Number,Address,Value,Float Value,Name
1,0,7,7,FirmVersionMajorNum
2,1,0,0,FirmVersionMinorNum
3,2,17134,17134,DeviceID
4,3,2,2,ButtonMode
5,4,19872,621,BattSensitivity
6,5,0,0,BattBias
7,6,17920,280,ThermSensitivity
8,7,42536,-23000,ThermBias
9,8,3,3,GyroFullScale
10,9,2083,16.27344,GyroSensitivityX
11,10,2088,16.3125,GyroSensitivityY
12,11,2077,16.22656,GyroSensitivityZ
13,12,3269,3269,GyroSampledPlus200dpsX
14,13,3255,3255,GyroSampledPlus200dpsY
15,14,3246,3246,GyroSampledPlus200dpsZ
16,15,62293,-3243,GyroSampledMinus200dpsX
17,16,62265,-3271,GyroSampledMinus200dpsY
18,17,62290,-3246,GyroSampledMinus200dpsZ
19,18,146,18.25,GyroBiasAt25degCX
20,19,16,2,GyroBiasAt25degCY
21,20,65398,-17.25,GyroBiasAt25degCZ
22,21,64087,-0.7075195,GyroBiasTempSensX
23,22,62943,-1.266113,GyroBiasTempSensY
24,23,4628,2.259766,GyroBiasTempSensZ
25,24,3642,14.22656,GyroSample1Temp
26,25,208,26,GyroSample1BiasX
27,26,126,15.75,GyroSample1BiasY
28,27,65203,-41.625,GyroSample1BiasZ
29,28,8569,33.47266,GyroSample2Temp
30,29,99,12.375,GyroSample2BiasX
31,30,65467,-8.625,GyroSample2BiasY
32,31,15,1.875,GyroSample2BiasZ
33,32,2,2,AccelFullScale
34,33,4049,253.0625,AccelSensitivityX
35,34,4108,256.75,AccelSensitivityY
36,35,4148,259.25,AccelSensitivityZ
37,36,64280,-4.90625,AccelBiasX
38,37,64888,-2.53125,AccelBiasY
39,38,64600,-3.65625,AccelBiasZ
40,39,3971,248.1875,AccelSampledPlus1gX
41,40,4068,254.25,AccelSampledPlus1gY
42,41,4090,255.625,AccelSampledPlus1gZ
43,42,61408,-258,AccelSampledMinus1gX
44,43,61387,-259.3125,AccelSampledMinus1gY
45,44,61329,-262.9375,AccelSampledMinus1gZ
46,45,3,3,MagFullScale
47,46,6289,393.0625,MagSensitivityX
48,47,6428,401.75,MagSensitivityY
49,48,6314,394.625,MagSensitivityZ
50,49,1050,4.101563,MagBiasX
51,50,65080,-1.78125,MagBiasY
52,51,2661,10.39453,MagBiasZ
53,52,90,0.04394531,MagHardIronBiasX
54,53,282,0.1376953,MagHardIronBiasY
55,54,65386,-0.07324219,MagHardIronBiasZ
56,55,2,2,AlgorithmMode
57,56,1024,0.5,AlgorithmKp
58,57,0,0,AlgorithmKi
59,58,20480,10,AlgorithmInitKp
60,59,6144,3,AlgorithmInitPeriod
61,60,409,0.199707,AlgorithmMinValidMag
62,61,1433,0.699707,AlgorithmMaxValidMag
63,62,32767,0.9999695,AlgorithmTareQuat0
64,63,0,0,AlgorithmTareQuat1
65,64,0,0,AlgorithmTareQuat2
66,65,0,0,AlgorithmTareQuat3
67,66,1,1,SensorDataMode
68,67,1,1,DateTimeOutputRate
69,68,3,3,BattThermOutputRate
70,69,9,9,InertialMagOutputRate
71,70,8,8,QuatOutputRate
72,71,1,1,SDcardNewFileName
73,72,14336,3.5,BattShutdownVoltage
74,73,0,0,SleepTimer
75,74,0,0,MotionTrigWakeUp
76,75,1,1,BluetoothPower
77,76,0,0,AuxiliaryPortMode
78,77,4,4,DigitalIOdirection
79,78,0,0,DigitalIOoutputRate
80,79,1,1,AnalogueInputDataMode
81,80,9,9,AnalogueInputDataRate
82,81,19859,1241.188,AnalogueInputSensitivity
83,82,0,0,AnalogueInputBias
84,83,20,20,PWMoutputFrequency
85,84,1,1,ADXL345busDataMode
86,85,9,9,ADXL345busDataRate
87,86,16384,256,ADXL345AsensitivityX
88,87,16384,256,ADXL345AsensitivityY
89,88,16384,256,ADXL345AsensitivityZ
90,89,0,0,ADXL345AbiasX
91,90,0,0,ADXL345AbiasY
92,91,0,0,ADXL345AbiasZ
93,92,16384,256,ADXL345BsensitivityX
94,93,16384,256,ADXL345BsensitivityY
95,94,16384,256,ADXL345BsensitivityZ
96,95,0,0,ADXL345BbiasX
97,96,0,0,ADXL345BbiasY
98,97,0,0,ADXL345BbiasZ
99,98,16384,256,ADXL345CsensitivityX
100,99,16384,256,ADXL345CsensitivityY
101,100,16384,256,ADXL345CsensitivityZ
102,101,0,0,ADXL345CbiasX
103,102,0,0,ADXL345CbiasY
104,103,0,0,ADXL345CbiasZ
105,104,16384,256,ADXL345DsensitivityX
106,105,16384,256,ADXL345DsensitivityY
107,106,16384,256,ADXL345DsensitivityZ
108,107,0,0,ADXL345DbiasX
109,108,0,0,ADXL345DbiasY
110,109,0,0,ADXL345DbiasZ
