Packet Number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
3,-1.0625,-9.75,-2.125,-0.08544922,-0.08154297,1.001953,0.1547852,-0.01708984,-0.5029297
5,-1.0625,-9.75,-2.125,-0.08544922,-0.08154297,1.001953,0.1547852,-0.01708984,-0.5029297
6,-1.125,-9.9375,-2.3125,-0.07373047,-0.09326172,0.9946289,0.1547852,-0.01708984,-0.5029297
8,-0.875,-9.75,-1.875,-0.08935547,-0.1010742,0.9907227,0.1567383,-0.01513672,-0.4936523
9,-1.125,-9.125,-2.375,-0.07373047,-0.07763672,0.9946289,0.1567383,-0.01513672,-0.4936523
11,-1.75,-8.6875,-1.6875,-0.08544922,-0.05810547,0.9790039,0.1567383,-0.01513672,-0.4936523
12,-1.875,-7.9375,-1.5625,-0.08544922,-0.09326172,1.009766,0.1547852,-0.01513672,-0.5102539
14,-1.4375,-7.6875,-1,-0.08154297,-0.1088867,1.009766,0.1547852,-0.01513672,-0.5102539
15,-1.125,-7.25,-0.9375,-0.06982422,-0.06201172,1.017578,0.1547852,-0.01513672,-0.5102539
17,-0.5,-6.9375,-0.6875,-0.06982422,-0.08154297,1.001953,0.1567383,-0.01074219,-0.5078125
18,-0.3125,-5.875,-0.9375,-0.1049805,-0.09326172,1.029297,0.1567383,-0.01074219,-0.5078125
20,0.0625,-5.5,-1.25,-0.07373047,-0.09326172,1.009766,0.1567383,-0.01074219,-0.5078125
21,0.3125,-5.4375,-0.4375,-0.06982422,-0.06591797,1.029297,0.1567383,-0.01074219,-0.5078125
23,0.9375,-4.9375,-0.9375,-0.1010742,-0.08544922,0.9868164,0.1567383,-0.01074219,-0.5078125
24,0.8125,-4.375,-0.4375,-0.06982422,-0.07763672,0.9907227,0.1567383,-0.01074219,-0.5078125
26,1.8125,-4.8125,-0.5,-0.06201172,-0.09716797,0.9946289,0.1567383,-0.01074219,-0.5078125
27,1.625,-4.375,-0.5,-0.07763672,-0.09326172,0.9750977,0.1523438,-0.02392578,-0.5053711
29,1.6875,-4.5625,-0.1875,-0.06982422,-0.09326172,0.9946289,0.1523438,-0.02392578,-0.5053711
30,1.5625,-4.75,0.1875,-0.08935547,-0.08935547,0.9790039,0.1523438,-0.02392578,-0.5053711
32,1.25,-4.8125,0,-0.06201172,-0.09326172,0.9868164,0.1479492,-0.008300781,-0.5029297
33,1.25,-5.375,0.1875,-0.07763672,-0.09716797,0.9868164,0.1479492,-0.008300781,-0.5029297
35,0.6875,-5.5625,0,-0.05029297,-0.1088867,0.9985352,0.1479492,-0.008300781,-0.5029297
36,0.9375,-6.25,0.125,-0.04638672,-0.09326172,0.9790039,0.1523438,-0.01269531,-0.5029297
38,0.5625,-6.5,0,-0.06591797,-0.07373047,0.9868164,0.1523438,-0.01269531,-0.5029297
39,1.3125,-7.3125,-0.25,-0.05810547,-0.06591797,0.9907227,0.1523438,-0.01269531,-0.5029297
41,1.625,-7.5625,-0.8125,-0.06982422,-0.09326172,0.9868164,0.1523438,-0.01269531,-0.5029297
42,2,-7.5,-0.125,-0.05810547,-0.09326172,1.001953,0.1503906,-0.01513672,-0.5078125
44,1.6875,-7.5625,-0.5,-0.07763672,-0.09716797,1.005859,0.1503906,-0.01513672,-0.5078125
45,1.375,-7.75,0,-0.04638672,-0.09326172,0.9946289,0.1503906,-0.01513672,-0.5078125
47,1.1875,-7.125,0.6875,-0.06591797,-0.09326172,0.9711914,0.1523438,-0.02148438,-0.5053711
48,0.4375,-7.625,0.5,-0.06591797,-0.1010742,0.9868164,0.1523438,-0.02148438,-0.5053711
50,-0.4375,-7.4375,0.25,-0.05419922,-0.1049805,0.9868164,0.1523438,-0.02148438,-0.5053711
51,0.1875,-6.375,0.0625,-0.06201172,-0.1049805,0.9750977,0.1547852,-0.01953125,-0.5078125
53,0.8125,-5.9375,0.5625,-0.05810547,-0.07763672,1.005859,0.1547852,-0.01953125,-0.5078125
54,1.5625,-5.25,-0.125,-0.06201172,-0.07373047,0.9946289,0.1547852,-0.01953125,-0.5078125
56,1.9375,-4.875,0.375,-0.05029297,-0.08544922,0.9985352,0.1547852,-0.01953125,-0.5078125
57,2.0625,-3.875,0.6875,-0.05029297,-0.08935547,1.001953,0.1547852,-0.01953125,-0.5078125
59,1.8125,-3.1875,0.875,-0.05810547,-0.09326172,1.009766,0.1547852,-0.01953125,-0.5078125
60,2,-2.625,1.1875,-0.04248047,-0.09326172,1.001953,0.1547852,-0.01953125,-0.5078125
62,2.125,-2.125,1.4375,-0.04248047,-0.1010742,1.013672,0.1547852,-0.02392578,-0.4985352
63,2.1875,-1.625,1.0625,-0.05810547,-0.09716797,1.005859,0.1547852,-0.02392578,-0.4985352
65,2.125,-1.0625,0.5,-0.04638672,-0.08154297,0.9868164,0.1547852,-0.02392578,-0.4985352
66,2.4375,-0.125,0.4375,-0.08154297,-0.07373047,0.9868164,0.1523438,-0.01269531,-0.5004883
68,3.0625,-0.3125,0,-0.04638672,-0.08154297,0.9985352,0.1523438,-0.01269531,-0.5004883
69,2.9375,0.5,0,-0.05029297,-0.07763672,1.005859,0.1523438,-0.01269531,-0.5004883
71,3.0625,1.0625,-0.0625,-0.07373047,-0.07763672,1.009766,0.1567383,-0.02148438,-0.4985352
72,3.375,1.3125,-0.875,-0.05419922,-0.08544922,0.9868164,0.1567383,-0.02148438,-0.4985352
74,3.625,1.375,-0.9375,-0.07373047,-0.07763672,0.9868164,0.1567383,-0.02148438,-0.4985352
75,3.0625,1.8125,-1.9375,-0.05419922,-0.06591797,1.005859,0.1567383,-0.02148438,-0.4985352
77,3.0625,2,-2.5625,-0.07763672,-0.08154297,1.001953,0.1635742,-0.01513672,-0.5004883
78,2.8125,2.25,-2.3125,-0.05810547,-0.06591797,1.001953,0.1635742,-0.01513672,-0.5004883
80,3.125,2.6875,-2.375,-0.04638672,-0.07373047,1.009766,0.1635742,-0.01513672,-0.5004883
81,2.75,2.4375,-2.5,-0.05419922,-0.05810547,1.005859,0.1459961,-0.02148438,-0.4960938
83,3.125,1.875,-2.25,-0.04638672,-0.05810547,1.017578,0.1459961,-0.02148438,-0.4960938
84,3.0625,2.5,-2.75,-0.07763672,-0.05810547,1.005859,0.1459961,-0.02148438,-0.4960938
86,2.8125,2.3125,-2.5,-0.07373047,-0.07763672,0.9946289,0.1567383,-0.01708984,-0.5102539
87,2,2.5625,-2.125,-0.06982422,-0.06982422,0.9868164,0.1567383,-0.01708984,-0.5102539
89,2.0625,1.5625,-2.125,-0.07373047,-0.06982422,1.001953,0.1567383,-0.01708984,-0.5102539
90,1.5,2.1875,-1.5625,-0.08154297,-0.07373047,0.9946289,0.1567383,-0.01708984,-0.5102539
92,1.5625,1.3125,-1.4375,-0.06591797,-0.08544922,0.9946289,0.1567383,-0.01708984,-0.5102539
