Packet Number,Roll | Phi | X (deg), Pitch | Theta | Y (deg), Yaw | Psi | Z (deg)
4,-2.199883,3.697709,0.3594307
7,-2.364542,3.930061,1.567371
10,-1.431566,3.808909,2.94812
13,-2.82319,4.510911,3.628364
16,-0.8674043,3.402232,4.986019
19,-2.459673,4.867391,5.618506
22,-1.595002,3.489648,6.536801
25,-2.049636,3.74659,7.216819
28,-1.872948,3.32138,8.347529
31,-2.334821,4.148026,9.394176
34,-3.425621,3.779737,9.967731
37,-3.153156,2.128021,10.88562
40,-2.561051,3.021907,11.51692
43,-3.039717,2.735068,12.19856
46,-3.280221,2.340057,12.92908
49,-3.631442,3.073297,13.82177
52,-4.158137,2.883029,14.69807
55,-3.299564,3.150166,15.38047
58,-3.720227,2.471313,15.93791
61,-3.843868,2.105459,16.57659
64,-3.944365,2.517104,17.35108
67,-4.077571,4.116587,17.69234
70,-3.971776,2.747861,17.99553
73,-3.904268,3.002991,18.46087
76,-3.000456,2.976763,18.9554
79,-3.092637,3.197726,19.05866
82,-2.344665,2.549297,19.31421
85,-2.837112,3.823995,19.36506
88,-3.250857,3.765577,19.52846
91,-3.625011,4.357457,19.65935
94,-4.267451,3.560573,19.92301
97,-3.53281,3.31147,20.36009
100,-3.316374,2.546036,20.43363
103,-4.593818,2.951715,20.51632
106,-3.233116,3.196733,20.99277
109,-3.888011,2.789638,21.21405
112,-4.161057,3.661198,21.325
115,-4.125118,2.776991,21.64524
118,-4.700033,3.532188,21.56217
121,-3.584631,2.307663,22.08849
124,-3.129754,2.354382,22.32564
127,-4.518192,3.291579,22.37393
130,-3.67874,2.699953,22.75416
133,-3.797204,3.642596,22.60481
136,-3.35765,4.61134,22.61923
139,-2.707308,3.97886,22.90197
142,-4.048188,4.029446,22.62641
145,-4.013808,3.534718,22.65594
148,-4.399439,3.643249,22.94683
151,-4.096091,3.161491,23.50161
154,-4.313151,2.835126,23.75437
157,-5.20211,3.605897,23.68074
160,-4.63252,2.854895,23.88451
163,-4.152514,3.319927,24.01068
166,-3.874001,2.86764,24.12233
169,-4.69945,2.967439,24.22985
172,-3.852159,3.561486,24.40468
175,-5.005732,3.756463,24.15221
178,-4.181616,4.163694,24.01372
181,-4.133064,4.028885,23.9509
184,-4.489528,3.397474,24.05434
187,-3.759773,3.389262,24.26821
190,-4.753292,2.775895,24.32566
193,-4.417068,2.18676,24.39047
196,-3.780649,2.994774,24.41091
199,-4.819512,3.328018,24.41237
202,-4.394305,2.632014,24.53326
205,-5.580316,3.684537,24.30348
208,-4.804402,2.539126,24.30892
211,-4.643805,3.671934,24.31426
214,-4.413796,3.104294,24.34518
217,-3.422453,4.063842,24.24924
220,-3.678679,3.134911,24.0651
223,-4.622583,3.617985,24.02657
226,-3.276432,4.093897,24.36749
229,-3.451315,4.04619,24.37443
232,-3.184145,3.398299,24.29499
235,-3.88728,2.808138,24.08418
238,-5.514607,3.820424,23.71503
241,-3.890919,2.175284,24.26399
244,-4.156627,3.211932,24.22868
247,-4.232349,3.257881,24.25102
250,-5.230158,3.106206,23.93607
253,-4.304509,3.531497,24.01493
256,-4.809098,4.017998,24.0694
259,-4.023753,3.154742,24.31876
262,-4.767494,3.337483,24.39831
265,-4.380541,3.096257,24.48919
268,-5.006344,3.486132,24.47024
271,-4.800543,3.625544,24.7962
274,-4.057738,2.295355,25.20825
277,-3.350612,3.249559,25.34483
280,-3.996963,3.943581,25.15769
283,-4.155462,2.961201,25.08571
286,-4.498656,2.752988,25.12983
289,-4.563612,3.224248,25.08025
292,-4.007413,2.53177,25.03622
295,-4.518999,2.658771,24.92497
298,-3.698822,2.668214,24.96233
301,-4.017075,3.18857,24.8273
304,-3.463827,3.461864,24.76763
307,-3.532265,2.666817,24.85694
310,-3.890768,3.727545,24.58198
313,-3.560198,2.49892,24.499
316,-3.598736,2.453697,24.50033
319,-3.926406,3.676434,24.45688
322,-3.778924,2.784832,24.64228
325,-4.021145,3.037997,24.4547
328,-4.620674,3.693377,24.343
331,-4.890973,3.44446,24.42465
334,-4.758858,3.836861,24.46737
337,-4.469051,3.459301,24.72283
340,-4.275022,3.6024,24.79134
343,-4.586974,3.451033,24.83239
346,-4.700495,3.532502,24.88752
349,-5.529818,3.095082,24.79908
352,-4.390964,2.732382,24.96348
355,-4.909639,2.851933,24.97672
358,-5.240489,2.664124,25.05418
361,-5.292263,2.022899,25.12362
364,-4.923633,2.444422,25.01289
367,-3.939142,3.543927,24.82559
370,-4.324265,2.712795,24.6856
373,-4.641762,2.699109,24.50581
376,-3.786963,2.858945,24.28883
379,-3.978137,2.797478,24.13659
382,-4.148351,4.04776,23.89954
385,-4.163528,3.849682,23.95904
390,-3.606928,3.949947,24.16119
393,-4.583736,3.684356,24.1687
396,-5.082879,4.655178,24.17486
399,-4.614053,4.320675,24.38352
402,-4.74861,4.429541,24.61589
405,-5.284922,3.735129,24.84224
408,-4.839044,3.644043,25.14327
411,-4.417391,3.642876,25.38232
414,-4.565704,3.304838,25.33941
417,-4.536642,3.350066,25.21693
420,-4.520003,3.990195,24.79828
423,-4.416692,4.219633,24.52105
426,-3.494992,2.892381,24.58329
429,-3.058671,2.945115,24.51171
432,-4.010348,2.565465,24.33681
435,-4.262636,3.189383,24.0055
438,-4.449679,3.795526,23.70988
441,-4.736852,3.551408,23.54634
444,-4.19473,2.862711,23.64433
447,-3.646854,3.553696,23.77953
450,-3.347689,3.73103,23.80761
453,-3.827987,3.512207,23.75132
456,-3.954306,3.603095,23.65992
459,-3.954317,3.595179,23.72817
462,-4.666817,3.075382,23.77585
465,-3.714131,3.712396,23.90627
468,-3.782137,3.639076,23.94903
471,-3.900324,3.294316,24.00225
474,-3.742728,2.853709,24.02512
477,-3.406776,2.865494,24.0598
480,-3.865433,3.154495,24.0031
483,-3.876406,3.432297,24.08897
486,-3.788286,3.660516,24.09507
489,-3.930757,2.841631,24.06142
492,-4.249924,2.712102,23.95268
495,-3.982948,3.447288,23.98574
498,-3.783401,3.315243,24.07632
501,-3.707781,2.955346,24.1662
504,-3.933552,3.575225,23.87231
507,-4.420413,3.544735,23.67924
510,-4.875971,3.901517,23.52726
513,-4.680568,3.173456,23.6685
516,-4.897776,2.196386,23.74738
519,-4.653834,2.662756,23.96588
522,-4.523775,2.628445,24.05878
525,-4.285129,2.234225,24.06778
528,-3.590029,3.203556,24.01526
531,-4.120074,2.942925,23.88706
534,-3.776829,2.931345,23.80756
537,-3.723332,2.918025,23.75509
540,-4.406779,2.525476,23.7454
543,-3.941776,2.595835,23.93908
546,-4.427853,3.065034,24.03798
549,-4.322507,3.986755,24.02555
552,-4.056152,3.392785,24.10699
555,-4.002219,3.121382,24.1413
558,-5.33938,3.406359,24.09448
561,-4.731354,3.881119,24.32288
564,-4.940724,2.788237,24.55561
567,-3.683045,3.393154,24.61361
570,-3.343238,3.225443,24.61041
573,-2.832126,3.918054,24.56664
576,-3.396626,3.260153,24.45145
579,-4.326445,3.516391,24.45573
582,-5.069987,2.991749,24.4777
585,-4.352172,3.052031,24.60215
588,-5.45189,2.770617,24.41249
591,-4.431266,2.57413,24.58134
594,-3.876568,3.068186,24.7438
597,-3.694713,2.583045,24.81751
600,-3.937345,2.699204,24.86041
603,-4.727501,2.925333,24.80772
606,-4.818503,2.638851,24.84214
609,-3.919645,3.054844,24.89003
612,-4.487894,2.992115,24.75959
615,-4.062708,2.701021,24.84031
618,-4.560092,3.374053,24.69195
621,-4.159516,3.229052,24.78692
624,-4.520722,2.53209,24.72794
627,-3.605327,2.738139,24.7
630,-4.065904,2.264872,24.48825
633,-3.815887,2.756698,24.7247
636,-3.88483,2.84794,24.56351
639,-4.556844,2.933946,24.4058
642,-4.192903,2.441604,24.45607
645,-4.826468,2.98316,24.35991
648,-3.63359,2.34053,24.52785
651,-3.7489,2.901753,24.49985
654,-4.530207,2.71569,24.53932
657,-5.055101,2.598817,24.42106
660,-4.453852,3.267893,24.5253
663,-4.898281,2.833429,24.57182
666,-4.484932,2.277392,24.57242
669,-4.861765,2.988464,24.5346
672,-4.173251,2.366486,24.7379
675,-4.448955,2.227592,24.59634
678,-3.667591,2.72019,24.42727
681,-5.275399,3.283039,24.12188
684,-4.14503,2.827779,24.26197
687,-3.877259,3.448172,24.21335
690,-3.579243,3.273521,24.32165
693,-4.110602,2.756698,24.45484
696,-3.869671,3.101456,24.53822
699,-4.26538,2.657967,24.62716
702,-4.263969,3.056912,24.6647
705,-4.434817,3.371516,24.53284
