Packet Number,Address,Value,Float Value,Name
1,0,5,5,FirmVersionMajorNum
2,1,0,0,FirmVersionMinorNum
3,2,11593,11593,DeviceID
4,3,2,2,ButtonMode
5,4,19872,621,BattSensitivity
6,5,0,0,BattBias
7,6,17920,280,ThermSensitivity
8,7,23000,23000,ThermBias
9,8,16792,16.39844,GyroSensitivityX
10,9,16792,16.39844,GyroSensitivityY
11,10,16792,16.39844,GyroSensitivityZ
12,11,52480,-51,GyroBiasX
13,12,2535,9.902344,GyroBiasY
14,13,1710,6.679688,GyroBiasZ
15,14,380,0.3710938,GyroBiasTempSensX
16,15,505,0.4931641,GyroBiasTempSensY
17,16,65194,-0.3339844,GyroBiasTempSensZ
18,17,61535,-15.62891,GyroSample1Temp
19,18,48619,-66.08203,GyroSample1BiasX
20,19,62924,-10.20313,GyroSample1BiasY
21,20,5193,20.28516,GyroSample1BiasZ
22,21,10289,40.19141,GyroSample2Temp
23,22,53923,-45.36328,GyroSample2BiasX
24,23,4460,17.42188,GyroSample2BiasY
25,24,408,1.59375,GyroSample2BiasZ
26,25,0,0,AccelFullScale
27,26,4102,256.375,AccelSensitivityX
28,27,4102,256.375,AccelSensitivityY
29,28,4102,256.375,AccelSensitivityZ
30,29,0,0,AccelBiasX
31,30,0,0,AccelBiasY
32,31,0,0,AccelBiasZ
33,32,3,3,MagFullScale
34,33,6202,387.625,MagSensitivityX
35,34,6324,395.25,MagSensitivityY
36,35,6118,382.375,MagSensitivityZ
37,36,256,1,MagBiasX
38,37,65378,-0.6171875,MagBiasY
39,38,1046,4.085938,MagBiasZ
40,39,65411,-0.06103516,MagHardIronBiasX
41,40,342,0.1669922,MagHardIronBiasY
42,41,65427,-0.05322266,MagHardIronBiasZ
43,42,2,2,AlgorithmMode
44,43,512,2,AlgorithmKp
45,44,0,0,AlgorithmKi
46,45,12800,200,AlgorithmInitKp
47,46,1280,5,AlgorithmInitPeriod
48,47,32767,0.9999695,TareQuat0
49,48,0,0,TareQuat1
50,49,0,0,TareQuat2
51,50,0,0,TareQuat3
52,51,1,1,SensorDataMode
53,52,1,1,DateTimeOutputRate
54,53,3,3,BattThermOutputRate
55,54,9,9,InertialMagOutputRate
56,55,8,8,QuatOutputRate
57,56,2,2,SDcardNewFileName
58,57,14336,3.5,BattShutdownVoltage
59,58,0,0,SleepTimer
60,59,0,0,MotionTrigWakeUp
61,60,1,1,BluetoothPower
62,61,0,0,AuxiliaryPortMode
63,62,4,4,DigitalIOdirection
64,63,0,0,DigitalIOoutputRate
65,64,408,0.1992188,AlgorithmMinValidMag
66,65,1432,0.6992188,AlgorithmMaxValidMag
