Packet Number,Element 11, Element 12, Element 13, Element 21, Element 22, Element 23, Element 31, Element 32, Element 33
4,0.9978986,0.006260149,-0.0644924,-0.008744127,0.9992278,-0.03830585,0.06420281,0.03878928,0.9971827
7,0.9972752,0.02728805,-0.06853873,-0.03015575,0.9986973,-0.04116032,0.06732626,0.043115,0.996799
10,0.9964707,0.0513181,-0.06642905,-0.05307305,0.9982795,-0.02492777,0.06503551,0.02836538,0.9974798
13,0.9949042,0.06308855,-0.07864894,-0.06707378,0.9965392,-0.04910146,0.075279,0.05412653,0.9956925
16,0.9944601,0.08675948,-0.05934527,-0.08779769,0.9960237,-0.0151118,0.0577982,0.02023846,0.9981231
19,0.9916068,0.09755127,-0.08484985,-0.1014381,0.9939224,-0.04276145,0.08016273,0.05100955,0.9954756
22,0.9916568,0.1136303,-0.0608682,-0.1154805,0.9929211,-0.02778283,0.05728035,0.03458012,0.997759
25,0.9899575,0.125356,-0.06534375,-0.1278626,0.9911495,-0.03568883,0.06029161,0.04368545,0.9972243
28,0.9877438,0.1449331,-0.05793656,-0.146973,0.9886023,-0.03262839,0.05254728,0.04074359,0.997787
31,0.9840043,0.1627981,-0.07233349,-0.1659974,0.9852886,-0.04063232,0.06465451,0.05198956,0.9965524
34,0.9827633,0.172717,-0.06592103,-0.1766638,0.982464,-0.05962279,0.05446715,0.07024094,0.9960421
37,0.9813288,0.1887187,-0.03713243,-0.1905687,0.9801336,-0.05496724,0.0260214,0.06101722,0.9977973
40,0.9785032,0.1993796,-0.05271778,-0.2017661,0.9784167,-0.04462176,0.04268328,0.05429919,0.9976119
43,0.9763076,0.2110596,-0.04771781,-0.2134762,0.9755111,-0.05296778,0.03536991,0.06189947,0.9974553
46,0.973835,0.2235583,-0.04083034,-0.2256554,0.9725282,-0.05717167,0.02692746,0.06488936,0.9975291
49,0.969647,0.2385588,-0.05361342,-0.2417202,0.9682826,-0.06324709,0.03682479,0.0742868,0.9965568
52,0.9660519,0.2534042,-0.05029712,-0.2565851,0.9638048,-0.07241771,0.03012566,0.08286477,0.9961053
55,0.9627289,0.2648266,-0.05495307,-0.2678374,0.9617486,-0.05746945,0.0376316,0.07004599,0.9968337
58,0.9606655,0.27434,-0.04311917,-0.276707,0.9587654,-0.06482425,0.02355728,0.0742058,0.9969647
61,0.9577922,0.2851041,-0.03673892,-0.2870155,0.9555805,-0.06699258,0.01600713,0.07470961,0.9970768
64,0.9535745,0.2979383,-0.04391763,-0.3004031,0.9513336,-0.06872142,0.02130557,0.07872398,0.9966689
67,0.9502441,0.3031215,-0.0717862,-0.3079994,0.9487391,-0.07092351,0.04660794,0.08950477,0.9948951
70,0.949987,0.3085876,-0.04794084,-0.311359,0.9477705,-0.06918541,0.02408715,0.08065206,0.9964512
73,0.9472377,0.3162222,-0.05238808,-0.3193056,0.9452093,-0.06799611,0.02801582,0.08113628,0.9963093
76,0.9444956,0.3243937,-0.05193095,-0.3269576,0.9435923,-0.05227328,0.03204452,0.0663511,0.9972817
79,0.9437131,0.3260276,-0.05578188,-0.328905,0.9428256,-0.05386649,0.03503062,0.06918145,0.9969889
82,0.942785,0.3304211,-0.04447895,-0.3321888,0.942327,-0.04087021,0.02840934,0.05330723,0.998174
85,0.9413246,0.3308476,-0.06669176,-0.3342937,0.9411741,-0.04938651,0.04642915,0.06878337,0.9965506
88,0.9404408,0.3335533,-0.06567442,-0.3372471,0.939714,-0.05658529,0.04284096,0.07536363,0.9962353
91,0.9389874,0.3354548,-0.07597867,-0.3402779,0.9382092,-0.06304343,0.05013567,0.08505085,0.9951144
94,0.9383367,0.3400994,-0.06210373,-0.3441571,0.9359702,-0.07426859,0.03286853,0.09106238,0.9953027
97,0.9359592,0.3473381,-0.05776389,-0.3505949,0.9345046,-0.06151722,0.03261334,0.07782933,0.9964331
100,0.9361522,0.3487774,-0.04442209,-0.3509455,0.9346108,-0.05779222,0.02136075,0.06969205,0.9973398
103,0.9353299,0.3500093,-0.05149436,-0.353211,0.9321183,-0.07998512,0.0200033,0.09300084,0.9954652
106,0.9321728,0.3576926,-0.05576457,-0.3606162,0.9310129,-0.05631082,0.03177557,0.07260103,0.9968547
109,0.9311304,0.3614244,-0.04866913,-0.3640969,0.9288955,-0.06772617,0.02073064,0.08078217,0.9965163
112,0.9296315,0.3629155,-0.06385649,-0.3670153,0.9273922,-0.07241222,0.0329405,0.09075299,0.9953285
115,0.928394,0.3684255,-0.04844866,-0.3711424,0.925792,-0.07185023,0.01838193,0.08468667,0.9962381
118,0.9282526,0.3668125,-0.06160926,-0.3709697,0.9250367,-0.08178344,0.02699165,0.09877086,0.9947441
121,0.9258528,0.3757332,-0.04026544,-0.3776352,0.9238446,-0.06247211,0.01372616,0.07304561,0.9972342
124,0.9242589,0.3795496,-0.04108015,-0.3813784,0.9228081,-0.05455126,0.01720419,0.06608658,0.9976656
127,0.9231939,0.3800218,-0.05741729,-0.3836494,0.920124,-0.07864567,0.02294396,0.0946333,0.9952478
130,0.9211491,0.3863485,-0.04710564,-0.3887681,0.9191037,-0.0640908,0.01853358,0.07735036,0.9968317
133,0.9213129,0.3835962,-0.06353248,-0.3874132,0.919534,-0.06609141,0.03306786,0.08550419,0.9957888
136,0.9200931,0.3833601,-0.0803962,-0.3882914,0.9196855,-0.05837892,0.05155908,0.08493119,0.9950518
139,0.9189517,0.3882177,-0.0693884,-0.3917404,0.9188684,-0.04712,0.04546599,0.07048325,0.9964763
142,0.9207513,0.3837698,-0.07026914,-0.3883398,0.9188215,-0.07042094,0.03753937,0.09212847,0.9950392
145,0.9210789,0.3844637,-0.06165334,-0.3882342,0.9189086,-0.06986371,0.02979373,0.08828594,0.9956493
148,0.919006,0.3890887,-0.06354384,-0.3932166,0.9162533,-0.07655425,0.02843586,0.0953403,0.9950385
151,0.915653,0.3981678,-0.05515043,-0.4013687,0.9131353,-0.07132068,0.02196222,0.08744067,0.9959275
154,0.9141605,0.4023235,-0.0494621,-0.4050805,0.9111902,-0.07511555,0.01484863,0.0887038,0.9959474
157,0.9139845,0.4008448,-0.06289324,-0.4052079,0.9097351,-0.09048975,0.02094386,0.1081911,0.9939094
160,0.9132286,0.4043918,-0.0498067,-0.4072497,0.9097477,-0.08066443,0.0126915,0.09394883,0.9954961
163,0.9119365,0.406224,-0.05791124,-0.4096693,0.9093652,-0.07229008,0.02329651,0.08964843,0.9957009
166,0.9115322,0.4081745,-0.05002887,-0.4108374,0.9092083,-0.06747797,0.01794387,0.08206206,0.9964659
169,0.9106838,0.4098479,-0.05176842,-0.4128862,0.9071002,-0.08181908,0.01342577,0.09588577,0.9953019
172,0.9088913,0.4123809,-0.06211964,-0.4160458,0.9068683,-0.06705246,0.02868317,0.08678801,0.9958139
175,0.9105012,0.408283,-0.06551569,-0.4128177,0.9066424,-0.08706792,0.02385096,0.1063215,0.9940456
178,0.9110371,0.4058813,-0.07260624,-0.4107081,0.9088618,-0.07272573,0.03647103,0.09607581,0.9947056
181,0.9116352,0.4049504,-0.07025938,-0.4095257,0.9094613,-0.07189492,0.03478431,0.09431496,0.9949346
184,0.9115545,0.4068866,-0.05926235,-0.4105883,0.9084667,-0.07813932,0.02204403,0.09556067,0.9951797
187,0.9100369,0.4102897,-0.05911929,-0.4136581,0.908076,-0.06545863,0.02682781,0.08402494,0.9961023
190,0.9101498,0.4114392,-0.04842956,-0.4141626,0.906432,-0.08276823,0.009844008,0.09538919,0.9953915
193,0.9100892,0.4126523,-0.0381569,-0.414403,0.9068338,-0.07695998,0.002844255,0.08585276,0.9963039
196,0.9093614,0.4127133,-0.05224488,-0.4155153,0.9071996,-0.06584685,0.02022066,0.08158714,0.996461
199,0.9090588,0.412604,-0.05805222,-0.416281,0.905359,-0.08387551,0.01795074,0.1004138,0.9947838
202,0.9087607,0.4147833,-0.04592115,-0.4172015,0.9055852,-0.07653908,0.009838388,0.08871409,0.9960085
205,0.9094944,0.410719,-0.06426299,-0.4153144,0.9044871,-0.09703998,0.01826889,0.1149467,0.9932036
208,0.9104444,0.4112521,-0.04430161,-0.4135914,0.9066096,-0.08367217,0.00575391,0.09450163,0.995508
211,0.9094298,0.4108958,-0.06404348,-0.4151146,0.9061742,-0.08079475,0.02483633,0.1000626,0.9946709
214,0.9097416,0.4116281,-0.05415364,-0.4148075,0.9066585,-0.07684618,0.0174668,0.0923735,0.9955713
217,0.9094751,0.4096741,-0.07086797,-0.4138316,0.9084039,-0.05954747,0.03998169,0.08348434,0.9957068
220,0.9117162,0.4071642,-0.05468722,-0.410138,0.9097705,-0.06406493,0.02366788,0.08083835,0.9964461
223,0.9115363,0.4063486,-0.06310379,-0.4104807,0.9083151,-0.08043117,0.02463503,0.09921883,0.9947606
226,0.9085936,0.411535,-0.0713912,-0.4156301,0.9077455,-0.05700754,0.04134444,0.08146901,0.995818
229,0.9085977,0.4116693,-0.07056065,-0.4158186,0.907463,-0.06005035,0.03931029,0.08390203,0.9956985
232,0.9098366,0.4107112,-0.05927674,-0.4138005,0.9086775,-0.05544755,0.03109051,0.07497695,0.9967005
235,0.9118508,0.4075883,-0.04899164,-0.4101717,0.9094914,-0.0677124,0.01695868,0.08183858,0.9965014
238,0.9135224,0.4012943,-0.06662958,-0.4061889,0.9087443,-0.09588595,0.02207078,0.1146582,0.9931597
241,0.9110048,0.4106453,-0.03795675,-0.4123423,0.908502,-0.06780827,0.006638636,0.07742483,0.9969761
244,0.9104823,0.4097348,-0.05602943,-0.4130035,0.9078496,-0.07236934,0.02121405,0.08903136,0.9958029
247,0.9102814,0.4100713,-0.05683012,-0.4134391,0.9075459,-0.07368201,0.02136105,0.09056713,0.9956614
250,0.9126559,0.4051211,-0.05418697,-0.4085427,0.9081894,-0.09102284,0.01233675,0.1052102,0.9943736
253,0.9117049,0.406202,-0.06159724,-0.4100499,0.9089813,-0.07491467,0.02556025,0.09355801,0.9952857
256,0.9108078,0.4068404,-0.07006983,-0.4117707,0.9074419,-0.08363,0.02956023,0.1050236,0.9940302
259,0.9098875,0.4111886,-0.05503282,-0.4143166,0.907432,-0.07006368,0.02112915,0.08655108,0.9960233
262,0.9091512,0.412377,-0.05821713,-0.4160548,0.9055462,-0.08297151,0.01850276,0.09965517,0.9948499
265,0.9087111,0.4139164,-0.05401357,-0.417065,0.905671,-0.07626891,0.01734957,0.09183358,0.9956233
268,0.9084923,0.4134541,-0.06080695,-0.41747,0.9045062,-0.08710456,0.01898653,0.1045189,0.9943416
271,0.9059884,0.4185525,-0.06323545,-0.4227248,0.9024013,-0.08351979,0.02210634,0.1023992,0.9944977
274,0.9040397,0.4255678,-0.04005079,-0.427406,0.9012906,-0.07070492,0.006007659,0.08103801,0.9966928
277,0.9022948,0.4273769,-0.0566851,-0.4303276,0.9007849,-0.05835192,0.02612282,0.07704379,0.9966855
280,0.9029981,0.4241045,-0.06877414,-0.4284161,0.9009018,-0.06953856,0.03246713,0.09225713,0.9952058
283,0.9044652,0.4234075,-0.0516597,-0.4262493,0.9017065,-0.07236618,0.01594151,0.0874726,0.9960393
286,0.9043029,0.4241807,-0.04803022,-0.4267731,0.9009587,-0.07834518,0.01004074,0.09134579,0.9957685
289,0.9042813,0.4232163,-0.05624405,-0.4265966,0.9009466,-0.07943991,0.01705261,0.09582954,0.9952517
292,0.9051562,0.4227781,-0.04417335,-0.4249535,0.9025189,-0.06981734,0.01035004,0.0819672,0.9965814
295,0.9058843,0.4209774,-0.04638765,-0.4234354,0.902501,-0.07870485,0.008731931,0.09093965,0.9958182
298,0.9056027,0.4215648,-0.04655228,-0.4238659,0.9034297,-0.06444185,0.01489029,0.07809063,0.9968352
301,0.9061725,0.4192345,-0.05562233,-0.4223894,0.9037117,-0.06994531,0.02094306,0.08687679,0.9959989
304,0.9063573,0.4181747,-0.06038417,-0.4214865,0.904827,-0.06030812,0.0294179,0.08011182,0.9963516
307,0.9063777,0.4198987,-0.04652793,-0.4221565,0.9044316,-0.06154389,0.01623913,0.07542407,0.9970195
310,0.9074432,0.4151148,-0.06501205,-0.4190476,0.9054359,-0.06771098,0.03075642,0.08868701,0.9955845
313,0.9091032,0.4142831,-0.04360056,-0.4163409,0.9070897,-0.06203815,0.01384825,0.07455177,0.9971211
316,0.9091246,0.4143183,-0.042812,-0.416326,0.9070502,-0.06271096,0.01285034,0.07483582,0.9971131
319,0.9083997,0.4131563,-0.06412184,-0.4170334,0.9063186,-0.06833416,0.02988213,0.08881569,0.9955996
322,0.9078554,0.4164592,-0.04858535,-0.4189555,0.9056175,-0.06582904,0.01658463,0.08011834,0.9966475
325,0.9090095,0.4133918,-0.05299821,-0.4163376,0.9065094,-0.07002606,0.01909518,0.08571951,0.9961362
328,0.9092019,0.4113421,-0.06441694,-0.4155864,0.9059939,-0.08039127,0.02529306,0.0998627,0.9946796
331,0.908861,0.4127492,-0.06008096,-0.4166546,0.9050723,-0.08510593,0.01925021,0.1023825,0.9945588
334,0.9081571,0.4132465,-0.06691582,-0.4178,0.9047602,-0.08277632,0.02633575,0.1031313,0.9943189
337,0.9066866,0.4174671,-0.06033953,-0.4212283,0.9036136,-0.07777862,0.0220536,0.09593754,0.9951432
340,0.9060469,0.4184862,-0.06283232,-0.4224002,0.9033509,-0.07439668,0.02562565,0.09394729,0.9952471
343,0.9058945,0.4192035,-0.06019548,-0.4229889,0.9026117,-0.07982728,0.02086926,0.09777711,0.9949895
346,0.9054123,0.4200386,-0.06161473,-0.4240031,0.90196,-0.08179142,0.02121846,0.1001798,0.9947432
349,0.9064599,0.4188256,-0.05399311,-0.4222086,0.9013771,-0.09622318,0.00836743,0.1100188,0.9938941
352,0.9055462,0.4215606,-0.04767099,-0.4241104,0.9023756,-0.07647473,0.01077841,0.08946917,0.9959312
355,0.9053566,0.421727,-0.04975506,-0.4245608,0.9013553,-0.08547853,0.008798389,0.0985126,0.9950969
358,0.9049286,0.4230173,-0.04648097,-0.4255508,0.9003233,-0.09123757,0.00325283,0.1023435,0.9947437
361,0.9048297,0.4243082,-0.03529891,-0.4257107,0.900152,-0.09217864,-0.007337765,0.09843308,0.9951167
364,0.9053881,0.4224373,-0.04265027,-0.4245791,0.901321,-0.08574978,0.002217678,0.09574524,0.9954033
367,0.9058545,0.4190545,-0.06181377,-0.4227195,0.9036631,-0.06856548,0.02712615,0.08824024,0.9957298
370,0.9075949,0.4171706,-0.04732952,-0.4196923,0.9045361,-0.07531653,0.01139143,0.08822074,0.9960358
373,0.9089097,0.4143254,-0.04709092,-0.4168926,0.9053541,-0.08083566,0.009141691,0.09310418,0.9956144
376,0.910349,0.4108248,-0.0498773,-0.4134412,0.9081383,-0.06596465,0.01819557,0.08067219,0.9965746
379,0.9114857,0.408426,-0.04880581,-0.411018,0.9089899,-0.06929315,0.01606287,0.08321978,0.9964017
382,0.9119767,0.4041238,-0.07058799,-0.4087414,0.9097933,-0.07215871,0.03505943,0.09465928,0.9948922
385,0.9117742,0.4051673,-0.06713909,-0.4094663,0.9094449,-0.07243954,0.03170917,0.09353968,0.9951106
390,0.9102304,0.4083329,-0.06888498,-0.4124483,0.9088166,-0.06276176,0.03697612,0.08553915,0.9956486
393,0.9104583,0.4085785,-0.06425984,-0.4128004,0.9073233,-0.0797508,0.02571999,0.09913626,0.9947414
396,0.9092903,0.4081718,-0.08115883,-0.4144721,0.9057677,-0.08830438,0.03746769,0.1139324,0.9927817
399,0.9082139,0.4116692,-0.07533856,-0.4170245,0.9053487,-0.08021478,0.0351857,0.1042702,0.9939264
402,0.9064052,0.4152889,-0.07723308,-0.4209159,0.9033369,-0.08253677,0.03549089,0.1073204,0.9935909
405,0.9055405,0.4192288,-0.06514412,-0.4237803,0.9010895,-0.0919129,0.02016816,0.1108376,0.9936339
408,0.9034179,0.4240243,-0.06355768,-0.4282224,0.8997436,-0.08418633,0.02148856,0.1032723,0.9944211
