Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
-1.0625,2,-1.0625,0.002929688,0.0009765625,1.022949,0.2607422,-0.02832031,-0.5595703
0,2.375,-1.1875,0.0078125,-0.004882813,1.029785,0.2607422,-0.02832031,-0.5595703
-0.375,3.25,-1,0.002929688,-0.005859375,1.020996,0.2607422,-0.02832031,-0.5595703
0.3125,3.375,-0.5,0.004882813,-0.006835938,1.008789,0.2631836,-0.04101563,-0.5581055
0.375,3.1875,-0.125,0.004882813,0.0009765625,1.018555,0.2631836,-0.04101563,-0.5581055
1.0625,3.375,0,0.00390625,0.002929688,1.021973,0.2631836,-0.04101563,-0.5581055
1.5625,3.5625,0.1875,-0.01757813,0.0078125,1.019531,0.2641602,-0.02929688,-0.5620117
1.8125,3.125,-0.4375,-0.01757813,0.02099609,1.027832,0.2641602,-0.02929688,-0.5620117
1.9375,3.375,-0.125,-0.03271484,0.02099609,1.026855,0.2641602,-0.02929688,-0.5620117
2.625,2.5625,0.625,-0.02978516,0.01660156,1.005859,0.2641602,-0.02929688,-0.5620117
2,0.875,0.125,-0.03955078,0.00390625,0.996582,0.2563477,-0.03271484,-0.5581055
1.6875,0.25,1.4375,-0.02294922,0.008789063,1.007813,0.2563477,-0.03271484,-0.5581055
1.5625,-0.25,2.5,-0.02294922,0.0078125,1.011719,0.2563477,-0.03271484,-0.5581055
0.3125,-1,2.4375,-0.02197266,0.01953125,1.016602,0.2607422,-0.02490234,-0.5649414
0.8125,-0.8125,1.875,-0.01660156,0.01855469,1.022949,0.2607422,-0.02490234,-0.5649414
0.5,-0.6875,1.9375,-0.01464844,0.01171875,1.019531,0.2607422,-0.02490234,-0.5649414
0.8125,-0.1875,2.125,-0.015625,0.01855469,1.023926,0.2607422,-0.03173828,-0.5605469
1.75,0.3125,1.9375,-0.009765625,0.02099609,1.028809,0.2607422,-0.03173828,-0.5605469
1.125,1.125,1.75,-0.01269531,0.02490234,1.024902,0.2607422,-0.03173828,-0.5605469
1.4375,1.5625,1.4375,-0.01074219,0.02099609,1.008789,0.2607422,-0.03173828,-0.5605469
1.9375,1.75,1.4375,-0.01757813,0.015625,1.020996,0.2641602,-0.03417969,-0.5454102
1.4375,1.4375,1.375,-0.02685547,0.01660156,1.010742,0.2641602,-0.03417969,-0.5454102
0.5625,1.5,0.375,-0.02685547,0.015625,1.023926,0.2641602,-0.03417969,-0.5454102
0.0625,0.875,0.0625,-0.02783203,0.02099609,1.028809,0.2548828,-0.03271484,-0.5649414
-0.3125,1.5,-1.1875,-0.02880859,0.02294922,1.027832,0.2548828,-0.03271484,-0.5649414
-0.9375,1.1875,-1.6875,-0.03076172,0.01953125,1.035645,0.2548828,-0.03271484,-0.5649414
-1.375,1.25,-2.25,-0.03173828,0.01855469,1.024902,0.2641602,-0.04199219,-0.5605469
-1.3125,1.3125,-2.375,-0.03076172,0.008789063,1.022949,0.2641602,-0.04199219,-0.5605469
-1.4375,0.875,-2.625,-0.02392578,0.0078125,1.028809,0.2641602,-0.04199219,-0.5605469
-1.125,1.5625,-2.0625,-0.02685547,0.0009765625,1.021973,0.2641602,-0.04199219,-0.5605469
-0.6875,1.3125,-1,-0.03173828,0.00390625,1.020996,0.2641602,-0.04199219,-0.5605469
-0.6875,1.875,-1.0625,-0.03662109,0.015625,1.024902,0.2641602,-0.04199219,-0.5605469
-0.875,1.4375,-1.3125,-0.03955078,0.01953125,1.025879,0.2641602,-0.04199219,-0.5605469
-0.625,0.9375,-1.375,-0.03662109,0.01660156,1.014648,0.2583008,-0.03173828,-0.5581055
0,0.1875,-1.1875,-0.04199219,0.02587891,1.020996,0.2583008,-0.03173828,-0.5581055
0.0625,-1,-0.4375,-0.03662109,0.02685547,1.023926,0.2583008,-0.03173828,-0.5581055
-0.375,-1.625,0.9375,-0.03173828,0.02392578,1.007813,0.265625,-0.03271484,-0.5566406
0.125,-2.875,1.8125,-0.03466797,0.01953125,1.00293,0.265625,-0.03271484,-0.5566406
-0.4375,-3.8125,3,-0.03466797,0.01855469,1.015625,0.265625,-0.03271484,-0.5566406
-0.5,-4.625,3.875,-0.03173828,0.02587891,1.012695,0.265625,-0.03271484,-0.5566406
-0.5,-4.4375,4.9375,-0.01464844,0.02685547,1.004883,0.265625,-0.03271484,-0.5566406
-0.25,-4.1875,5.125,-0.01074219,0.02587891,1.009766,0.265625,-0.03271484,-0.5566406
0.625,-5.1875,5.5625,-0.0078125,0.02880859,1.010742,0.265625,-0.03271484,-0.5566406
0.5,-4.375,5.75,-0.002929688,0.015625,1.010742,0.2583008,-0.03857422,-0.5581055
0.125,-3.5,5.4375,0.005859375,0.01171875,1.012695,0.2583008,-0.03857422,-0.5581055
-0.25,-2.9375,3.6875,0.004882813,0.02197266,1.008789,0.2583008,-0.03857422,-0.5581055
-1,-2.875,2.4375,0.01074219,0.01953125,1.015625,0.262207,-0.03417969,-0.5634766
-0.8125,-2.0625,1.0625,0.006835938,0.01855469,1.020996,0.262207,-0.03417969,-0.5634766
-1.4375,-1.75,0,-0.0009765625,0.01171875,1.019531,0.262207,-0.03417969,-0.5634766
-0.9375,-1.25,-1.1875,-0.009765625,0.01074219,1.026855,0.2514648,-0.04199219,-0.5595703
-2.125,-0.5625,-2.375,-0.005859375,0.01855469,1.012695,0.2514648,-0.04199219,-0.5595703
-2.5625,-0.6875,-2.8125,-0.01171875,0.002929688,1.024902,0.2514648,-0.04199219,-0.5595703
-2.875,-0.9375,-3.6875,-0.02294922,-0.004882813,1.017578,0.2514648,-0.04199219,-0.5595703
-3.1875,0.125,-3.1875,-0.01855469,0,1.020996,0.2563477,-0.03271484,-0.5620117
-3.25,0.0625,-2.375,-0.01953125,0.001953125,1.019531,0.2563477,-0.03271484,-0.5620117
-2.875,0,-2.8125,-0.03662109,0.006835938,1.033691,0.2563477,-0.03271484,-0.5620117
-1.5,-0.4375,-1.3125,-0.02880859,0.0078125,1.014648,0.2548828,-0.02929688,-0.5649414
-0.4375,-0.875,0.4375,-0.02978516,0.0009765625,1.006836,0.2548828,-0.02929688,-0.5649414
0.4375,-1.875,1.5625,-0.02587891,0.0009765625,1.010742,0.2548828,-0.02929688,-0.5649414
0.375,-2.5,2.3125,-0.02294922,0.0078125,1.008789,0.2631836,-0.03027344,-0.5581055
-0.0625,-2.0625,2.875,-0.01269531,0.006835938,1.010742,0.2631836,-0.03027344,-0.5581055
-0.125,-1.75,2.25,-0.02294922,0.01855469,1.016602,0.2631836,-0.03027344,-0.5581055
0.0625,-1.5625,1.875,-0.01464844,0.01464844,1.019531,0.2631836,-0.03027344,-0.5581055
0.75,-2.25,1.875,-0.015625,0.01171875,1.00293,0.2631836,-0.03027344,-0.5581055
0.875,-2.375,1.6875,-0.02294922,0.00390625,1.006836,0.2631836,-0.03027344,-0.5581055
0.125,-3.375,2.4375,-0.009765625,-0.00390625,0.9975586,0.2631836,-0.03027344,-0.5581055
-0.8125,-3.75,2.9375,-0.001953125,0,1.003906,0.2631836,-0.03613281,-0.5551758
-0.1875,-3.8125,2.8125,-0.002929688,0.01367188,1.003906,0.2631836,-0.03613281,-0.5551758
-0.9375,-4.8125,2.9375,0.0078125,0.01367188,1.006836,0.2631836,-0.03613281,-0.5551758
-0.3125,-4.75,2.4375,0.001953125,0.02099609,1.014648,0.2548828,-0.03759766,-0.5664063
-0.75,-4.25,1.6875,-0.01367188,0.01171875,1.010742,0.2548828,-0.03759766,-0.5664063
-1.125,-3.375,1.5625,-0.01367188,0.01171875,1.019531,0.2548828,-0.03759766,-0.5664063
-1.0625,-3.1875,1.5,-0.01953125,0.02197266,1.014648,0.2548828,-0.03759766,-0.5664063
-0.6875,-3.8125,1.25,-0.01660156,0.03173828,1.014648,0.2548828,-0.03759766,-0.5664063
-0.875,-3.25,1.5625,-0.01660156,0.03369141,1.012695,0.2548828,-0.03759766,-0.5664063
-0.625,-4.125,1.875,-0.02099609,0.03466797,1.007813,0.2548828,-0.03759766,-0.5664063
-0.8125,-4.1875,2.0625,-0.0078125,0.01660156,1.010742,0.2583008,-0.03613281,-0.5498047
-1.1875,-5.125,2.3125,-0.01660156,0.02490234,1.006836,0.2583008,-0.03613281,-0.5498047
-1.375,-3.375,2.1875,-0.01269531,0.02197266,1.016602,0.2583008,-0.03613281,-0.5498047
-1.5,-3.375,2.3125,-0.009765625,0.02197266,1.019531,0.2504883,-0.03857422,-0.5678711
-0.6875,-2.3125,2.6875,-0.01171875,0.02099609,1.027832,0.2504883,-0.03857422,-0.5678711
-0.8125,-2,1.9375,-0.01074219,0.015625,1.019531,0.2504883,-0.03857422,-0.5678711
-0.0625,-1.625,2.25,-0.01660156,0.02392578,1.025879,0.262207,-0.03515625,-0.546875
0.5,-1.25,2.25,-0.01074219,0.02783203,1.020996,0.262207,-0.03515625,-0.546875
-0.3125,-1.375,1.25,-0.01464844,0.03369141,1.028809,0.262207,-0.03515625,-0.546875
-0.1875,-1,1.9375,-0.01171875,0.03076172,1.012695,0.262207,-0.03515625,-0.546875
-0.5625,-1,1.75,-0.02099609,0.03076172,1.020996,0.2548828,-0.03515625,-0.5566406
-0.5625,-0.3125,1.625,-0.01269531,0.03076172,1.019531,0.2548828,-0.03515625,-0.5566406
-0.375,-0.9375,1.875,-0.01660156,0.02978516,1.019531,0.2548828,-0.03515625,-0.5566406
-0.5,-0.375,1.9375,-0.01757813,0.02783203,1.023926,0.2573242,-0.03759766,-0.5595703
-0.1875,-0.5,2,-0.02392578,0.02685547,1.018555,0.2573242,-0.03759766,-0.5595703
-0.5625,-0.875,1.6875,-0.03076172,0.02099609,1.023926,0.2573242,-0.03759766,-0.5595703
-0.375,-1.3125,2.0625,-0.03173828,0.02392578,1.012695,0.2529297,-0.03613281,-0.5581055
-0.1875,-2.5625,2.875,-0.02783203,0.00390625,1.012695,0.2529297,-0.03613281,-0.5581055
-0.75,-3.0625,3.3125,-0.02587891,0.006835938,1.012695,0.2529297,-0.03613281,-0.5581055
-1.0625,-3.4375,3.3125,-0.015625,0.001953125,1.015625,0.2529297,-0.03613281,-0.5581055
-0.8125,-3.75,4.1875,-0.00390625,0.0078125,1.025879,0.2583008,-0.02929688,-0.5620117
-0.5625,-4.375,4.6875,-0.001953125,0.001953125,1.014648,0.2583008,-0.02929688,-0.5620117
-0.625,-5.625,4.6875,-0.00390625,-0.015625,1,0.2583008,-0.02929688,-0.5620117
-0.5,-6.25,5.0625,-0.01171875,-0.015625,1.013672,0.2563477,-0.02832031,-0.5605469
-0.9375,-6.875,4.8125,-0.009765625,-0.008789063,1.019531,0.2563477,-0.02832031,-0.5605469
-0.6875,-6.25,5.0625,-0.0078125,0.0009765625,1.010742,0.2563477,-0.02832031,-0.5605469
-1.25,-7.8125,4.6875,-0.00390625,0.00390625,1.004883,0.2514648,-0.03271484,-0.5507813
-1.3125,-8.375,5,-0.006835938,0.009765625,1.009766,0.2514648,-0.03271484,-0.5507813
-1.25,-8.5625,4.3125,-0.0009765625,0.015625,1.023926,0.2514648,-0.03271484,-0.5507813
-1.625,-8.375,3.4375,0.005859375,0.015625,1.012695,0.2514648,-0.03271484,-0.5507813
-1.4375,-8.6875,3.5625,0.00390625,0.01660156,1.020996,0.2514648,-0.03271484,-0.5507813
-1.1875,-7.6875,3.625,0.006835938,0.015625,1.015625,0.2514648,-0.03271484,-0.5507813
-0.4375,-6.6875,2.625,0.02197266,0.015625,1.019531,0.2514648,-0.03271484,-0.5507813
0,-5.8125,2.5625,0.01367188,0.01464844,1.015625,0.2573242,-0.02832031,-0.5649414
-0.4375,-4.75,1.8125,0.01171875,0.001953125,1.020996,0.2573242,-0.02832031,-0.5649414
0.125,-3.5,1.0625,0.008789063,-0.00390625,1.012695,0.2573242,-0.02832031,-0.5649414
0.25,-3.1875,1.5625,0.009765625,0.0009765625,1.017578,0.2573242,-0.03271484,-0.5649414
1,-2.5,0.8125,0.0009765625,0.01171875,1.024902,0.2573242,-0.03271484,-0.5649414
1.0625,-1.0625,1,-0.00390625,0.02685547,1.009766,0.2573242,-0.03271484,-0.5649414
1.1875,-2.5625,1.75,-0.015625,0.01464844,1,0.2490234,-0.03613281,-0.574707
1.875,-3.75,2.8125,-0.01953125,0.00390625,1.005859,0.2490234,-0.03613281,-0.574707
1.8125,-4,4.3125,-0.01855469,0.006835938,1.00293,0.2490234,-0.03613281,-0.574707
1.5,-4.4375,5.8125,-0.02099609,0.01367188,1.007813,0.2490234,-0.03613281,-0.574707
1.625,-5,6.5625,-0.0078125,0.01855469,1.010742,0.2563477,-0.03857422,-0.5507813
1.5625,-5.5625,6.625,-0.0009765625,0.01660156,0.9975586,0.2563477,-0.03857422,-0.5507813
1.625,-6.25,6.25,0.0078125,0.02490234,1.006836,0.2563477,-0.03857422,-0.5507813
1.8125,-5.375,5.6875,0.01367188,0.008789063,1.013672,0.2539063,-0.03173828,-0.5551758
2,-6.6875,4.875,0.01464844,0.01757813,1.007813,0.2539063,-0.03173828,-0.5551758
1.25,-5,3.9375,0.02490234,0.009765625,1.012695,0.2539063,-0.03173828,-0.5551758
1.25,-5.25,3.25,0.02783203,0.005859375,1.011719,0.2514648,-0.03955078,-0.5595703
2.25,-4.375,2.5625,0.02783203,0.006835938,1.019531,0.2514648,-0.03955078,-0.5595703
2.25,-4.1875,2.5,0.02880859,0.01074219,1.019531,0.2514648,-0.03955078,-0.5595703
2.8125,-3.75,1.875,0.02880859,-0.00390625,1.004883,0.2514648,-0.03955078,-0.5595703
2.4375,-2.6875,2.1875,0.03271484,-0.00390625,1.006836,0.2529297,-0.03173828,-0.5537109
2.3125,-2.25,2.0625,0.02587891,-0.005859375,1.008789,0.2529297,-0.03173828,-0.5537109
3.125,-1.5625,1.8125,0.02685547,0.00390625,1.006836,0.2529297,-0.03173828,-0.5537109
2.8125,-2.1875,1.5625,0.02685547,0.001953125,0.9956055,0.2514648,-0.03173828,-0.5537109
2.3125,-2.1875,0.6875,0.02587891,0.002929688,1.016602,0.2514648,-0.03173828,-0.5537109
2.8125,-2,0.1875,0.01953125,0.00390625,1.023926,0.2514648,-0.03173828,-0.5537109
2.75,-0.9375,0.3125,0.01367188,0.01757813,1.024902,0.2504883,-0.03759766,-0.5703125
3.375,-0.4375,0.625,0.002929688,0.02099609,1.022949,0.2504883,-0.03759766,-0.5703125
4,-0.375,1.3125,0.006835938,0.02392578,1.023926,0.2504883,-0.03759766,-0.5703125
4.625,-0.1875,2.4375,-0.01660156,0.02197266,1.020996,0.2504883,-0.03759766,-0.5703125
5.125,0,3.5625,-0.03173828,0.03564453,1.018555,0.2504883,-0.03759766,-0.5703125
5.8125,0.1875,4.875,-0.03076172,0.03564453,1.022949,0.2504883,-0.03759766,-0.5703125
6,0.375,5.5,-0.03271484,0.04980469,1.020996,0.2504883,-0.03759766,-0.5703125
6.0625,-0.4375,5.75,-0.03759766,0.04785156,1.011719,0.2514648,-0.03857422,-0.5581055
5.125,-1.3125,6.25,-0.02392578,0.05078125,1.008789,0.2514648,-0.03857422,-0.5581055
5.375,-2.125,6.75,-0.01953125,0.04589844,1.010742,0.2514648,-0.03857422,-0.5581055
4.8125,-2.875,7.6875,-0.0009765625,0.03564453,1.006836,0.2514648,-0.03515625,-0.5581055
4.625,-2.875,7.0625,0.002929688,0.04296875,1.011719,0.2514648,-0.03515625,-0.5581055
4.1875,-2.25,7.25,0.004882813,0.04492188,1.004883,0.2514648,-0.03515625,-0.5581055
3.75,-2.875,5.4375,0.01367188,0.03857422,1.003906,0.2539063,-0.03759766,-0.5537109
3.125,-1.875,5.375,0.01074219,0.03271484,0.996582,0.2539063,-0.03759766,-0.5537109
3,-2,4.75,0.01367188,0.02490234,1.010742,0.2539063,-0.03759766,-0.5537109
2.6875,-1.375,5.5625,0.01757813,0.02099609,1.012695,0.2539063,-0.03759766,-0.5537109
2.75,-2.125,5.0625,0.02099609,0.01464844,1.014648,0.2529297,-0.03271484,-0.5595703
2.4375,-2.875,4.5625,0.01757813,0.01855469,1.000977,0.2529297,-0.03271484,-0.5595703
1.6875,-3.5625,3.75,0.02880859,0.03271484,0.9916992,0.2529297,-0.03271484,-0.5595703
0,-3.875,3.5625,0.02685547,0.0078125,0.9985352,0.2470703,-0.03759766,-0.5581055
-1.1875,-4.1875,3.375,0.02685547,0.01464844,1.006836,0.2470703,-0.03759766,-0.5581055
-1.4375,-3.4375,2.8125,0.03759766,0.01757813,1.012695,0.2470703,-0.03759766,-0.5581055
-1.625,-3.125,1.875,0.02490234,0.02197266,1.014648,0.2446289,-0.03515625,-0.5620117
-1.3125,-1.8125,2.3125,0.01367188,0.02587891,1.015625,0.2446289,-0.03515625,-0.5620117
-0.375,-1.875,3,0.01074219,0.02197266,1.012695,0.2446289,-0.03515625,-0.5620117
0,-1.1875,3.625,0.004882813,0.03076172,1.017578,0.2446289,-0.03515625,-0.5620117
0.375,-1.125,3.875,-0.0078125,0.02978516,1.006836,0.2421875,-0.03271484,-0.5634766
1.0625,-1.4375,4.9375,-0.01660156,0.03271484,1.020996,0.2421875,-0.03271484,-0.5634766
0.9375,-0.5,5.4375,-0.01464844,0.04199219,1.018555,0.2421875,-0.03271484,-0.5634766
1.75,-0.75,5.6875,-0.0078125,0.04052734,1.025879,0.2514648,-0.03271484,-0.5522461
2.3125,-0.3125,5.9375,-0.01464844,0.04492188,1.012695,0.2514648,-0.03271484,-0.5522461
1.8125,-0.3125,4.625,-0.0009765625,0.03564453,1.019531,0.2514648,-0.03271484,-0.5522461
2.625,0.125,4.5,-0.00390625,0.03076172,1.010742,0.2514648,-0.03515625,-0.5551758
2.375,0,3.625,-0.0009765625,0.02099609,1.016602,0.2514648,-0.03515625,-0.5551758
2.625,0.3125,3.3125,0.0009765625,0.02392578,1.023926,0.2514648,-0.03515625,-0.5551758
