Roll | phi | X (deg), Pitch | theta | Y (deg), Yaw | psi | Z (deg)
-1.272865,2.561488,6.369624
-1.293798,2.566069,6.362118
-1.307276,2.577278,6.358196
-1.306117,2.598222,6.357983
-1.29029,2.632322,6.354464
-1.274492,2.663001,6.357978
-1.270311,2.670009,6.372164
-1.263098,2.666301,6.389838
-1.255887,2.662591,6.407511
-1.241381,2.665437,6.421787
-1.226372,2.678717,6.432472
-1.218074,2.699419,6.439629
-1.21707,2.720297,6.432445
-1.223229,2.7415,6.418101
-1.243706,2.759836,6.396259
-1.267457,2.778545,6.385001
-1.272998,2.810332,6.37423
-1.271908,2.834664,6.363508
-1.264725,2.837769,6.363651
-1.264969,2.824009,6.384755
-1.258657,2.796033,6.420146
-1.245986,2.753767,6.462829
-1.244174,2.705223,6.509004
-1.24247,2.663373,6.533946
-1.254657,2.632589,6.537492
-1.269954,2.615794,6.523356
-1.305829,2.610465,6.49795
-1.348052,2.616102,6.475966
-1.372054,2.631291,6.461265
-1.382371,2.631954,6.468006
-1.386355,2.614924,6.489076
-1.386459,2.608176,6.503325
-1.383429,2.594168,6.517534
-1.39902,2.556832,6.542085
-1.404623,2.511886,6.563465
-1.406627,2.470195,6.581395
-1.411011,2.449607,6.595523
-1.401705,2.42469,6.606505
-1.395946,2.396558,6.62443
-1.397183,2.368827,6.642204
-1.401684,2.344903,6.66356
-1.398504,2.334383,6.677723
-1.38444,2.330234,6.692028
-1.370304,2.326119,6.709825
-1.359605,2.325619,6.720524
-1.351879,2.33245,6.738267
-1.35097,2.343068,6.752128
-1.361343,2.336964,6.776431
-1.376344,2.310279,6.808081
-1.399275,2.266534,6.843071
-1.425831,2.219672,6.88524
-1.442395,2.165108,6.924013
-1.452897,2.096242,6.963309
-1.460319,2.023491,6.992032
-1.464348,1.95049,7.017334
-1.470891,1.895113,7.038881
-1.479836,1.860767,7.049651
-1.466609,1.846033,7.057036
-1.456269,1.838615,7.074752
-1.442563,1.8243,7.113772
-1.426669,1.785489,7.167093
-1.408214,1.73239,7.216906
-1.393954,1.672363,7.252759
-1.383418,1.612484,7.278292
-1.372525,1.559449,7.296535
-1.371454,1.517546,7.314504
-1.359303,1.485405,7.329008
-1.347301,1.453146,7.333033
-1.319776,1.444419,7.336974
-1.280522,1.452577,7.351339
-1.218291,1.487466,7.383169
-1.141739,1.525051,7.425897
-1.073859,1.535178,7.475798
-1.018129,1.518104,7.536256
-0.9664859,1.494098,7.586001
-0.9357399,1.474902,7.625179
-0.9158975,1.449431,7.667747
-0.8935885,1.409662,7.703236
-0.9105108,1.361999,7.731558
-0.9240679,1.313988,7.749233
-0.9284891,1.296933,7.770256
-0.9174356,1.299981,7.802
-0.8951114,1.312822,7.840773
-0.8619615,1.328421,7.886395
-0.8329234,1.337233,7.9218
-0.8144751,1.346689,7.946614
-0.7962868,1.352584,7.967721
-0.7782255,1.35841,7.978361
-0.763696,1.364455,7.985471
-0.7427172,1.363016,7.989219
-0.7178485,1.36827,7.985992
-0.6929802,1.373526,7.98277
-0.6610029,1.378348,7.990102
-0.6220901,1.382663,7.994036
-0.5836644,1.38,7.998002
-0.5459276,1.366882,8.005496
-0.5079913,1.357235,8.00948
-0.4691212,1.361527,8.009923
-0.4263159,1.372541,8.006902
-0.3862413,1.397711,7.986364
-0.3430081,1.419105,7.958673
-0.2993981,1.44753,7.924249
-0.2442183,1.492648,7.88274
-0.1494396,1.552621,7.845275
-0.02529905,1.631728,7.812048
0.1169357,1.723661,7.761587
0.2528461,1.833721,7.68338
0.3929669,1.96481,7.574164
0.5219303,2.104048,7.416003
0.6463335,2.244037,7.222929
0.766491,2.402631,6.963853
0.8401523,2.585826,6.633976
0.8664115,2.782969,6.240412
0.8746144,2.98185,5.74146
0.7975093,3.181881,5.131799
0.630911,3.346306,4.455898
0.4329785,3.513402,3.729594
0.1970677,3.710799,2.949366
-0.07507487,3.947495,2.086519
-0.4357484,4.202312,1.191374
-0.8439354,4.447949,0.2577106
-1.263561,4.686411,-0.7692724
-1.713843,4.894296,-1.928679
-2.21839,5.044772,-3.214201
-2.796401,5.147797,-4.605485
-3.410691,5.21684,-6.059329
-3.968897,5.406633,-7.57002
-4.508058,5.536524,-9.151481
-5.088727,5.636278,-10.79754
-5.645612,5.719911,-12.52286
-6.164059,5.81125,-14.32223
-6.579323,5.915733,-16.21362
-7.015861,5.943882,-18.13229
-7.49111,5.907242,-20.0369
-8.033039,5.771683,-21.8944
-8.565212,5.571325,-23.69361
-9.154431,5.273215,-25.39665
